,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
St Kilda,Round 1,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.78,67.74,-7.91,57.61
Essendon,Round 2,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.5,62.16,-4.67,59.64
North Melbourne,Round 3,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.13,61.17,0.37,62.79
Gold Coast SUNS,Round 4,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.54,64.76,9.32,68.39
Geelong Cats,Round 5,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.69,62.04,2.7,64.25
GWS GIANTS,Round 6,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.9,56.84,3.04,64.46
Fremantle,Round 7,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.66,62.06,15.49,72.25
Carlton,Round 8,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.62,58.05,6.99,66.93
Port Adelaide,Round 9,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.34,59.3,-1.55,61.59
Collingwood,Round 10,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.36,66.71,4.44,65.34
West Coast Eagles,Round 11,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.02,61.84,5.72,66.14
Sydney Swans,Round 12,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.27,62.64,-5.91,58.86
Brisbane Lions,Round 13,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.74,61.4,-9.0,56.93
Hawthorn,Round 14,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.8,67.75,11.67,69.86
Richmond,Round 16,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.11,66.53,10.92,69.39
Melbourne,Round 17,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.91,64.34,9.27,68.36
Western Bulldogs,Round 18,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,1.19,61.74,-9.22,56.79
Gold Coast SUNS,Round 19,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.54,64.76,9.32,68.39
Port Adelaide,Round 20,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.34,59.3,-1.55,61.59
Hawthorn,Round 21,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.8,67.75,11.67,69.86
West Coast Eagles,Round 22,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.02,61.84,5.72,66.14
Collingwood,Round 23,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.36,66.71,4.44,65.34
North Melbourne,Round 24,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.13,61.17,0.37,62.79
