,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Opening Round,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.77,65.42,-13.5,57.04
Sydney Swans,Round 1,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.14,66.68,-0.29,65.75
West Coast Eagles,Round 2,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.92,64.68,-2.24,64.46
Richmond,Round 4,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-7.09,70.95,32.21,87.18
Western Bulldogs,Round 5,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.81,65.39,-3.91,63.36
Collingwood,Round 6,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.81,70.74,-8.31,60.46
St Kilda,Round 7,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.61,72.13,3.23,68.07
Gold Coast SUNS,Round 8,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.9,67.89,11.6,73.59
North Melbourne,Round 9,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,3.37,63.77,-13.01,57.36
Melbourne,Round 10,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.05,67.99,11.16,73.3
Hawthorn,Round 11,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.64,72.15,0.3,66.14
Essendon,Round 12,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.79,65.4,7.1,70.62
Adelaide Crows,Round 13,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.95,60.51,-6.41,61.71
GWS GIANTS,Round 14,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.05,59.9,-5.87,62.07
Geelong Cats,Round 15,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.77,65.42,-13.5,57.04
Port Adelaide,Round 17,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.69,62.37,-1.15,65.18
Carlton,Round 18,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.87,60.55,-28.03,47.46
Western Bulldogs,Round 19,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.81,65.39,-3.91,63.36
Gold Coast SUNS,Round 20,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.9,67.89,11.6,73.59
Collingwood,Round 21,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.81,70.74,-8.31,60.46
Sydney Swans,Round 22,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.14,66.68,-0.29,65.75
Fremantle,Round 23,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.19,65.79,-12.59,57.64
Hawthorn,Round 24,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.64,72.15,0.3,66.14
