,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Richmond,Round 1,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.2,79.74,8.58,81.23
Hawthorn,Round 2,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.43,81.68,5.6,79.0
Western Bulldogs,Round 3,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.97,74.08,12.62,84.25
Collingwood,Round 4,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.43,79.94,1.5,75.93
West Coast Eagles,Round 5,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.35,73.8,4.26,78.0
North Melbourne,Round 6,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.61,72.9,-5.33,70.82
Geelong Cats,Round 7,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.75,74.25,-5.81,70.46
Adelaide Crows,Round 8,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.73,68.79,-16.21,62.68
St Kilda,Round 9,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.14,81.43,8.03,80.82
Sydney Swans,Round 10,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.56,75.22,-3.94,71.86
GWS GIANTS,Round 11,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.86,68.09,-8.31,68.59
Essendon,Round 13,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.71,74.27,1.92,76.25
West Coast Eagles,Round 14,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.35,73.8,4.26,78.0
North Melbourne,Round 15,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.61,72.9,-5.33,70.82
Port Adelaide,Round 16,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.29,71.04,-8.86,68.18
Collingwood,Round 17,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.43,79.94,1.5,75.93
Brisbane Lions,Round 18,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.05,73.3,-12.5,65.46
Melbourne,Round 19,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.79,76.95,-5.52,70.68
Hawthorn,Round 20,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.43,81.68,5.6,79.0
Fremantle,Round 21,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.57,74.38,4.63,78.27
Gold Coast SUNS,Round 22,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.26,77.32,13.81,85.14
Port Adelaide,Round 23,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.29,71.04,-8.86,68.18
Essendon,Round 24,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.71,74.27,1.92,76.25
