,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.83,55.58,6.04,64.75
Port Adelaide,Round 1,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.29,57.97,-4.08,58.57
Western Bulldogs,Round 2,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,1.12,60.37,34.88,82.36
Carlton,Round 4,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.28,56.9,4.06,63.54
Sydney Swans,Round 5,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.3,61.22,14.23,69.75
Brisbane Lions,Round 6,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.74,60.0,9.09,66.61
Essendon,Round 7,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.57,60.7,11.28,67.95
Geelong Cats,Round 8,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.67,60.63,14.64,70.0
Fremantle,Round 9,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.74,60.59,3.7,63.32
Adelaide Crows,Round 10,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.75,56.13,13.35,69.21
North Melbourne,Round 11,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,1.96,59.86,-4.13,58.54
Hawthorn,Round 12,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.69,66.12,0.43,61.32
Melbourne,Round 13,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.84,62.82,22.83,75.0
St Kilda,Round 15,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.63,66.08,12.07,68.43
West Coast Eagles,Round 16,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.88,60.51,-3.14,59.14
Carlton,Round 17,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.28,56.9,4.06,63.54
Gold Coast SUNS,Round 18,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.45,63.22,11.22,67.91
Fremantle,Round 19,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.74,60.59,3.7,63.32
Richmond,Round 20,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-5.98,64.92,-6.24,57.25
Brisbane Lions,Round 21,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.74,60.0,9.09,66.61
Hawthorn,Round 22,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.69,66.12,0.43,61.32
Adelaide Crows,Round 23,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.75,56.13,13.35,69.21
Melbourne,Round 24,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.84,62.82,22.83,75.0
