,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.66,82.51,-0.25,80.14
Hawthorn,Round 1,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.42,86.76,-10.16,72.18
Adelaide Crows,Round 2,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.02,73.67,-4.29,76.89
Port Adelaide,Round 3,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,6.07,75.72,-10.67,71.77
Melbourne,Round 5,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.95,82.76,1.62,81.64
West Coast Eagles,Round 6,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.77,79.71,11.58,89.64
Collingwood,Round 7,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.11,85.54,3.93,83.5
North Melbourne,Round 8,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.16,78.62,-9.0,73.11
Sydney Swans,Round 9,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.97,81.11,-10.33,72.04
Western Bulldogs,Round 10,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.59,79.85,2.64,82.46
Richmond,Round 11,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.49,85.89,10.69,88.93
Brisbane Lions,Round 12,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.98,78.76,13.07,90.84
Carlton,Round 13,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,6.78,75.22,0.87,81.04
Geelong Cats,Round 14,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.8,79.69,-21.58,63.0
Fremantle,Round 15,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.11,80.23,-18.65,65.36
Gold Coast SUNS,Round 17,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.66,82.51,-0.25,80.14
Richmond,Round 18,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.49,85.89,10.69,88.93
GWS GIANTS,Round 19,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.12,72.94,5.85,85.04
Western Bulldogs,Round 20,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.59,79.85,2.64,82.46
Sydney Swans,Round 21,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.97,81.11,-10.33,72.04
Geelong Cats,Round 22,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.8,79.69,-21.58,63.0
St Kilda,Round 23,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.62,86.95,5.97,85.14
Carlton,Round 24,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,6.78,75.22,0.87,81.04
