,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.89,67.57,32.39,90.21
Sydney Swans,Round 2,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.7,68.65,-13.35,59.04
West Coast Eagles,Round 3,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.37,67.25,-3.17,65.98
Western Bulldogs,Round 4,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.84,67.6,0.32,68.36
Richmond,Round 5,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.53,72.93,5.83,72.11
Melbourne,Round 6,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.0,70.28,8.57,73.98
Adelaide Crows,Round 7,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.08,62.5,-0.78,67.61
St Kilda,Round 8,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.11,74.19,11.8,76.18
Collingwood,Round 9,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.63,73.01,1.89,69.43
GWS GIANTS,Round 10,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.15,61.89,-4.67,64.96
Port Adelaide,Round 11,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.82,64.42,3.16,70.29
Gold Coast SUNS,Round 12,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.23,70.45,-8.59,62.29
North Melbourne,Round 14,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.69,66.39,12.17,76.43
Essendon,Round 15,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.41,67.89,13.63,77.43
St Kilda,Round 16,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.11,74.19,11.8,76.18
Sydney Swans,Round 17,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.7,68.65,-13.35,59.04
Hawthorn,Round 18,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.02,74.12,15.2,78.5
Collingwood,Round 19,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.63,73.01,1.89,69.43
West Coast Eagles,Round 20,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.37,67.25,-3.17,65.98
Carlton,Round 21,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.11,63.06,-8.22,62.54
Port Adelaide,Round 22,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.82,64.42,3.16,70.29
Brisbane Lions,Round 23,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.93,66.88,23.38,84.07
Western Bulldogs,Round 24,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.84,67.6,0.32,68.36
