,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.27,67.04,-0.92,68.14
Fremantle,Round 1,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.3,68.35,-9.68,62.11
St Kilda,Round 2,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.81,74.37,20.75,83.04
Melbourne,Round 4,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.86,70.58,0.44,69.07
Adelaide Crows,Round 5,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.73,63.05,4.49,71.86
Hawthorn,Round 6,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.09,74.59,-7.4,63.68
Carlton,Round 7,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.03,64.06,-8.23,63.11
Collingwood,Round 8,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-5.92,72.88,4.9,72.14
GWS GIANTS,Round 9,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.93,62.37,0.86,69.36
Port Adelaide,Round 10,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.7,64.86,0.03,68.79
Western Bulldogs,Round 11,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.79,68.02,3.34,71.07
West Coast Eagles,Round 12,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.68,68.1,0.1,68.84
Gold Coast SUNS,Round 13,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.78,70.52,-14.05,59.11
Essendon,Round 14,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.9,67.95,-3.77,66.18
Brisbane Lions,Round 15,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.27,67.04,-0.92,68.14
Richmond,Round 17,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.24,73.12,-7.87,63.36
GWS GIANTS,Round 18,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.93,62.37,0.86,69.36
St Kilda,Round 19,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.81,74.37,20.75,83.04
North Melbourne,Round 20,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.16,67.11,0.1,68.84
Port Adelaide,Round 21,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.7,64.86,0.03,68.79
Essendon,Round 22,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.9,67.95,-3.77,66.18
Sydney Swans,Round 23,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.69,69.04,-7.2,63.82
Richmond,Round 24,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.24,73.12,-7.87,63.36
