,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Essendon,Opening Round,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.61,61.72,8.19,68.18
West Coast Eagles,Round 1,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.75,61.63,-15.3,53.38
Melbourne,Round 3,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.1,64.08,2.81,64.79
Adelaide Crows,Round 4,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.01,56.96,-32.62,42.46
North Melbourne,Round 5,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.12,60.8,2.52,64.61
Richmond,Round 6,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.65,66.51,9.49,69.0
Sydney Swans,Round 7,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.67,62.51,3.71,65.36
Brisbane Lions,Round 8,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.15,60.78,-5.81,59.36
Western Bulldogs,Round 9,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.96,61.5,-5.3,59.68
Hawthorn,Round 10,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.6,67.2,4.13,65.62
St Kilda,Round 11,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.77,67.32,51.14,95.25
Fremantle,Round 12,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.28,61.92,12.84,71.11
Geelong Cats,Round 13,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.74,61.63,15.77,72.96
GWS GIANTS,Round 15,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.09,56.4,-10.12,56.64
Melbourne,Round 16,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.1,64.08,2.81,64.79
Essendon,Round 17,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.61,61.72,8.19,68.18
Collingwood,Round 18,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.17,66.17,3.06,64.95
Adelaide Crows,Round 19,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.01,56.96,-32.62,42.46
Brisbane Lions,Round 20,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.15,60.78,-5.81,59.36
Richmond,Round 21,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.65,66.51,9.49,69.0
Carlton,Round 22,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.22,57.91,-0.1,62.96
GWS GIANTS,Round 23,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.09,56.4,-10.12,56.64
Port Adelaide,Round 24,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,6.03,58.56,-21.74,49.32
