,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Sydney Swans,Opening Round,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.6,70.49,4.91,73.68
Essendon,Round 1,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.83,69.49,-8.16,64.5
Carlton,Round 2,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,6.18,65.99,14.21,80.21
GWS GIANTS,Round 3,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.9,63.76,-9.64,63.46
Port Adelaide,Round 5,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.77,66.25,-14.37,60.14
Geelong Cats,Round 6,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.6,69.65,-13.7,60.61
West Coast Eagles,Round 7,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.22,69.91,16.96,82.14
Richmond,Round 8,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.17,74.67,7.35,75.39
Melbourne,Round 9,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.93,72.18,25.72,88.29
Gold Coast SUNS,Round 10,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.81,72.09,-13.34,60.86
Brisbane Lions,Round 11,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.06,68.65,18.84,83.46
Collingwood,Round 12,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-5.68,74.29,-4.3,67.21
Western Bulldogs,Round 13,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.88,69.46,12.26,78.84
Adelaide Crows,Round 14,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.76,64.43,-0.78,69.68
North Melbourne,Round 16,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,1.57,68.99,3.03,72.36
St Kilda,Round 17,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.3,75.59,-8.74,64.09
Fremantle,Round 18,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.43,69.77,-8.93,63.96
Port Adelaide,Round 19,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.77,66.25,-14.37,60.14
Carlton,Round 20,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,6.18,65.99,14.21,80.21
Adelaide Crows,Round 21,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.76,64.43,-0.78,69.68
Collingwood,Round 22,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-5.68,74.29,-4.3,67.21
Melbourne,Round 23,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.93,72.18,25.72,88.29
Brisbane Lions,Round 24,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.06,68.65,18.84,83.46
