,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Round 1,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.05,57.8,1.66,64.75
North Melbourne,Round 2,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.51,62.05,-5.51,60.18
Gold Coast SUNS,Round 3,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.19,65.71,-6.19,59.75
Geelong Cats,Round 4,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.79,63.11,7.88,68.71
Essendon,Round 5,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.5,63.3,15.34,73.46
Fremantle,Round 6,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.36,63.38,-4.69,60.7
Richmond,Round 7,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.47,68.01,11.54,71.04
West Coast Eagles,Round 8,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.28,62.81,-1.59,62.68
Hawthorn,Round 9,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.85,69.03,24.32,79.18
Brisbane Lions,Round 10,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.89,62.43,-9.19,57.84
Sydney Swans,Round 11,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.7,64.06,-10.68,56.89
St Kilda,Round 12,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.97,69.12,30.93,83.39
Collingwood,Round 13,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.51,68.04,-3.94,61.18
Port Adelaide,Round 14,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.67,60.2,-13.83,54.88
Gold Coast SUNS,Round 16,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.19,65.71,-6.19,59.75
Adelaide Crows,Round 17,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.0,58.36,-3.5,61.46
North Melbourne,Round 18,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.51,62.05,-5.51,60.18
Carlton,Round 19,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.8,59.01,-7.43,58.96
St Kilda,Round 20,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.97,69.12,30.93,83.39
West Coast Eagles,Round 21,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.28,62.81,-1.59,62.68
Western Bulldogs,Round 22,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.91,63.03,9.94,70.02
Hawthorn,Round 23,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.85,69.03,24.32,79.18
Collingwood,Round 24,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.51,68.04,-3.94,61.18
