,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.97,58.43,-8.74,53.89
Melbourne,Round 2,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.03,60.84,7.54,63.5
Adelaide Crows,Round 3,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.98,54.14,-1.96,57.89
Sydney Swans,Round 4,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.54,59.32,-0.42,58.8
Gold Coast SUNS,Round 5,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.35,61.04,1.88,60.16
Carlton,Round 6,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.14,54.56,1.73,60.07
Port Adelaide,Round 7,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.68,55.83,12.73,66.57
Essendon,Round 8,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.49,58.71,14.12,67.39
Brisbane Lions,Round 9,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.02,57.83,26.16,74.5
Richmond,Round 10,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.48,63.09,16.73,68.93
Collingwood,Round 11,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.57,63.15,-12.9,51.43
West Coast Eagles,Round 13,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.28,58.26,1.12,59.71
Fremantle,Round 14,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.34,58.8,32.7,78.36
Carlton,Round 15,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.14,54.56,1.73,60.07
Hawthorn,Round 16,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.08,64.19,-4.71,56.27
Western Bulldogs,Round 17,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.97,58.43,-8.74,53.89
Melbourne,Round 18,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.03,60.84,7.54,63.5
Sydney Swans,Round 19,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.54,59.32,-0.42,58.8
Geelong Cats,Round 20,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.81,58.53,33.7,78.95
St Kilda,Round 21,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.09,64.19,3.12,60.89
GWS GIANTS,Round 22,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.08,53.6,-4.81,56.21
Richmond,Round 23,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.48,63.09,16.73,68.93
Adelaide Crows,Round 24,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.98,54.14,-1.96,57.89
