,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Round 1,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.23,66.03,4.34,64.61
Richmond,Round 2,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.55,66.26,-10.14,55.64
Essendon,Round 3,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.92,61.36,-3.91,59.5
St Kilda,Round 4,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.08,67.36,9.71,67.93
Hawthorn,Round 5,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.28,67.51,0.36,62.14
Sydney Swans,Round 6,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.51,62.24,27.47,78.93
North Melbourne,Round 7,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.42,60.46,1.74,63.0
Western Bulldogs,Round 8,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,1.14,61.22,4.68,64.82
Adelaide Crows,Round 9,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.72,56.95,-12.71,54.05
Geelong Cats,Round 10,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.58,61.56,7.74,66.71
Fremantle,Round 11,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.46,61.64,0.02,61.93
GWS GIANTS,Round 13,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.89,56.35,7.06,66.29
Melbourne,Round 14,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.08,63.88,6.12,65.71
Sydney Swans,Round 15,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.51,62.24,27.47,78.93
Carlton,Round 16,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.9,57.39,0.94,62.5
Brisbane Lions,Round 17,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.51,60.4,3.36,64.0
West Coast Eagles,Round 18,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.98,61.32,-9.63,55.96
Hawthorn,Round 19,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.28,67.51,0.36,62.14
Adelaide Crows,Round 20,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.72,56.95,-12.71,54.05
Geelong Cats,Round 21,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.58,61.56,7.74,66.71
Fremantle,Round 22,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.46,61.64,0.02,61.93
Carlton,Round 23,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.9,57.39,0.94,62.5
Gold Coast SUNS,Round 24,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.15,63.94,6.93,66.21
