,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Carlton,Round 1,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.27,58.88,-4.19,61.09
Port Adelaide,Round 2,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,6.26,59.99,-0.38,63.52
St Kilda,Round 3,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.23,69.47,8.61,69.25
Brisbane Lions,Round 4,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.31,62.31,-7.97,58.68
Fremantle,Round 5,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,-0.11,63.82,-3.76,61.36
Gold Coast SUNS,Round 6,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.04,65.75,0.66,64.18
Melbourne,Round 7,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.31,65.93,7.26,68.39
Hawthorn,Round 8,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.96,69.26,13.28,72.23
West Coast Eagles,Round 9,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.26,62.95,-1.55,62.77
North Melbourne,Round 10,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.81,62.01,-11.84,56.21
Essendon,Round 11,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.48,63.45,7.97,68.84
GWS GIANTS,Round 12,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.34,57.78,-3.61,61.46
Sydney Swans,Round 13,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.83,64.28,17.17,74.71
Western Bulldogs,Round 15,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.87,63.2,-3.94,61.25
Adelaide Crows,Round 16,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.25,58.35,-6.74,59.46
Geelong Cats,Round 17,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.84,63.22,-1.8,62.61
Essendon,Round 18,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.48,63.45,7.97,68.84
West Coast Eagles,Round 19,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.26,62.95,-1.55,62.77
Collingwood,Round 20,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.64,68.28,28.89,82.18
Gold Coast SUNS,Round 21,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.04,65.75,0.66,64.18
St Kilda,Round 22,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.23,69.47,8.61,69.25
North Melbourne,Round 23,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.81,62.01,-11.84,56.21
Geelong Cats,Round 24,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.84,63.22,-1.8,62.61
