,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Hawthorn,Opening Round,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.9,63.93,49.8,88.14
Brisbane Lions,Round 1,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.23,57.59,-17.34,48.64
Fremantle,Round 2,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.27,58.72,9.98,64.71
North Melbourne,Round 4,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.33,57.54,4.28,61.36
Collingwood,Round 5,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.22,62.78,16.54,68.57
Port Adelaide,Round 6,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.75,55.68,1.31,59.61
Gold Coast SUNS,Round 7,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.94,60.67,14.29,67.25
GWS GIANTS,Round 8,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.01,53.52,-18.61,47.89
Essendon,Round 9,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.75,58.44,2.43,60.27
Carlton,Round 10,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.44,54.8,13.75,66.93
Melbourne,Round 11,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.02,60.71,3.98,61.18
Adelaide Crows,Round 12,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.87,54.08,9.98,64.71
Richmond,Round 13,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.48,62.96,15.87,68.18
Port Adelaide,Round 15,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.75,55.68,1.31,59.61
Western Bulldogs,Round 16,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.86,58.38,25.03,73.57
Fremantle,Round 17,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.27,58.72,9.98,64.71
St Kilda,Round 18,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.87,63.91,19.0,70.02
North Melbourne,Round 19,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.33,57.54,4.28,61.36
GWS GIANTS,Round 20,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.01,53.52,-18.61,47.89
Essendon,Round 21,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.75,58.44,2.43,60.27
Brisbane Lions,Round 22,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.23,57.59,-17.34,48.64
Geelong Cats,Round 23,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.7,58.47,5.98,62.36
West Coast Eagles,Round 24,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,0.91,58.35,-15.09,49.96
