,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.49,63.83,23.99,76.43
Brisbane Lions,Round 2,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.9,60.45,9.04,67.21
Fremantle,Round 3,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.29,61.42,0.26,61.8
GWS GIANTS,Round 4,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.15,55.92,-7.71,56.89
Carlton,Round 5,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.4,56.83,19.01,73.36
Essendon,Round 6,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.37,61.38,16.92,72.07
Hawthorn,Round 7,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.05,66.99,33.66,82.39
Melbourne,Round 8,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.1,63.57,12.23,69.18
Richmond,Round 9,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.55,65.92,-1.62,60.64
St Kilda,Round 10,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.17,67.08,38.48,85.36
Adelaide Crows,Round 11,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.11,56.46,-14.2,52.89
Geelong Cats,Round 12,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.82,61.1,-15.38,52.16
North Melbourne,Round 13,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.66,60.0,5.68,65.14
Carlton,Round 14,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.4,56.83,19.01,73.36
Collingwood,Round 16,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.71,66.03,23.18,75.93
GWS GIANTS,Round 17,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.15,55.92,-7.71,56.89
Port Adelaide,Round 18,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.72,58.27,12.12,69.11
Richmond,Round 19,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.55,65.92,-1.62,60.64
Fremantle,Round 20,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.29,61.42,0.26,61.8
Melbourne,Round 21,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.1,63.57,12.23,69.18
Adelaide Crows,Round 22,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.11,56.46,-14.2,52.89
Western Bulldogs,Round 23,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,1.09,60.94,-2.6,60.04
Sydney Swans,Round 24,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.46,61.88,6.26,65.5
