,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
North Melbourne,Round 1,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.7,66.27,3.53,70.46
Collingwood,Round 2,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.58,72.85,4.06,70.82
Carlton,Round 3,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.8,63.13,11.56,75.93
Fremantle,Round 4,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.19,67.93,0.34,68.29
Brisbane Lions,Round 5,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.01,66.72,-4.19,65.21
St Kilda,Round 6,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.04,74.01,20.01,81.68
GWS GIANTS,Round 7,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.12,61.8,-10.98,60.59
Port Adelaide,Round 8,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.89,64.27,-7.13,63.21
Gold Coast SUNS,Round 9,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.93,70.11,-7.17,63.18
Essendon,Round 10,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.52,67.71,4.16,70.89
Geelong Cats,Round 11,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.8,67.52,-10.21,61.11
Hawthorn,Round 13,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.74,73.77,0.68,68.52
St Kilda,Round 14,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.04,74.01,20.01,81.68
Richmond,Round 15,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.8,73.03,9.26,74.36
Sydney Swans,Round 16,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.02,68.76,-8.87,62.02
North Melbourne,Round 17,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.7,66.27,3.53,70.46
Adelaide Crows,Round 18,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.11,62.38,-5.07,64.61
Brisbane Lions,Round 19,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.01,66.72,-4.19,65.21
Essendon,Round 20,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.52,67.71,4.16,70.89
GWS GIANTS,Round 21,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.12,61.8,-10.98,60.59
Melbourne,Round 22,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.02,70.18,-3.56,65.64
West Coast Eagles,Round 23,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.42,67.11,33.28,90.71
Fremantle,Round 24,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.19,67.93,0.34,68.29
