playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Aaron Francis,7.43,22.29,-25.8,4.43,8.86,-19.69,5.71,17.13,21.85,0.43,1.72,-79.02,0.43,0.43,-32.71,0.28,-0.84,-58.76,0.0,0.0,-100.0,0.0,0.0,-100.0,11.85,-23.69,9.0,-10.44,3.29,-30.34,0.14,-64.01,5.57,29.63,0.0,-100.0,0.28,-83.1,75.61,-1.01,3.29,20.16,160.14,-40.63,72.82,1.8,1.57,35.7,0.28,-66.98,0.0,-100.0,0.0,-100.0,49.57,7.76,-21.86,49.59
Aaron Hall,20.79,62.37,107.63,6.01,12.02,8.96,4.2,12.6,-10.37,2.06,8.24,0.49,0.91,0.91,42.41,0.03,-0.09,-95.58,0.03,0.18,-82.14,0.04,0.04,-67.48,26.8,72.58,16.8,67.18,5.86,24.07,0.06,-84.58,4.14,-3.65,0.07,-91.05,4.83,191.49,77.44,1.39,3.57,30.39,598.27,121.79,76.01,6.26,0.14,-87.9,1.84,116.98,5.14,485.42,4.2,441.94,96.26,-0.66,51.75,96.27
Adam Cerra,10.0,30.0,-0.13,6.14,12.28,11.31,2.14,6.42,-54.33,1.71,6.84,-16.59,1.14,1.14,78.4,0.29,-0.87,-57.29,0.0,0.0,-100.0,0.0,0.0,-100.0,16.14,3.93,10.43,3.79,4.86,2.9,0.0,-100.0,2.14,-50.2,1.57,100.77,1.71,3.2,69.6,-8.87,2.86,4.46,326.14,20.9,62.86,-12.12,0.0,-100.0,1.86,119.34,1.0,13.9,1.0,29.03,55.86,-17.85,-11.94,55.81
Adam Kennedy,10.08,30.24,0.67,4.83,9.66,-12.44,5.92,17.76,26.33,1.08,4.32,-47.32,0.42,0.42,-34.27,0.17,-0.51,-74.96,0.08,0.48,-52.38,0.0,0.0,-100.0,14.92,-3.92,11.42,13.64,2.67,-43.47,0.17,-56.3,5.75,33.81,0.5,-36.06,1.33,-19.73,82.17,7.58,2.58,-5.77,259.92,-3.64,80.1,11.98,0.5,-56.78,0.58,-31.6,0.67,-23.69,0.58,-25.16,62.42,-0.0,-1.6,62.37
Adam Saad,13.12,39.36,31.03,6.51,13.02,18.02,4.17,12.51,-11.01,2.31,9.24,12.68,0.65,0.65,1.72,0.21,-0.63,-69.07,0.06,0.36,-64.29,0.06,0.06,-51.22,19.63,26.41,11.56,15.04,5.82,23.23,0.28,-28.02,3.89,-9.47,0.91,16.37,1.89,14.06,82.34,7.81,4.19,53.03,357.09,32.38,77.53,8.39,1.23,6.31,1.69,99.29,3.03,245.1,1.83,136.13,74.53,-0.46,17.49,74.57
Adam Tomlinson,11.58,34.74,15.65,6.16,12.32,11.68,5.09,15.27,8.62,0.86,3.44,-58.05,1.4,1.4,119.09,1.4,-4.2,106.19,0.0,0.0,-100.0,0.0,0.0,-100.0,17.74,14.24,9.88,-1.68,6.16,30.43,0.84,115.94,4.26,-0.86,0.42,-46.29,0.44,-73.45,77.89,1.98,3.56,30.02,334.53,24.01,81.92,14.52,1.7,46.93,1.4,65.09,1.7,93.62,1.28,65.16,63.0,35.97,-0.68,62.97
Adam Treloar,9.0,27.0,-10.12,15.0,30.0,171.94,4.0,12.0,-14.64,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,24.0,54.55,15.0,49.27,4.0,-15.31,0.0,-100.0,4.0,-6.91,2.0,155.75,1.0,-39.65,87.5,14.56,4.0,46.09,274.0,1.58,77.8,8.76,1.0,-13.57,1.0,17.92,3.0,241.69,3.0,287.1,69.0,-0.0,8.77,69.0
Aidan Corr,9.49,28.47,-5.22,3.72,7.44,-32.56,5.23,15.69,11.61,1.34,5.36,-34.63,0.53,0.53,-17.06,0.71,-2.13,4.57,0.01,0.06,-94.05,0.0,0.0,-100.0,13.22,-14.87,8.95,-10.94,3.36,-28.86,0.46,18.25,4.77,11.01,0.32,-59.08,0.29,-82.5,84.44,10.56,3.44,25.64,202.3,-25.0,83.41,16.61,1.11,-4.06,0.45,-46.93,0.98,11.62,0.9,16.13,55.46,-5.68,-12.57,55.42
Aiden Bonar,5.2,15.6,-48.07,9.4,18.8,70.41,4.66,13.98,-0.55,2.06,8.24,0.49,0.06,0.06,-90.61,0.14,-0.42,-79.38,0.0,0.0,-100.0,0.0,0.0,-100.0,14.6,-5.98,8.94,-11.04,5.63,19.2,0.86,121.08,3.8,-11.57,0.09,-88.49,0.11,-93.36,96.83,26.78,0.37,-86.49,52.06,-80.7,96.15,34.42,0.89,-23.08,0.91,7.31,0.03,-96.58,0.0,-100.0,56.23,8.55,-11.36,56.26
Alex Cincotta,4.98,14.94,-50.26,5.81,11.62,5.33,3.0,9.0,-35.98,3.0,12.0,46.34,0.19,0.19,-70.27,0.43,-1.29,-36.67,0.05,0.3,-70.24,0.21,0.21,70.73,10.79,-30.52,6.71,-33.23,4.5,-4.72,0.31,-20.31,2.69,-37.4,0.86,9.97,0.52,-68.62,77.28,1.18,2.48,-9.42,127.64,-52.68,57.1,-20.18,1.1,-4.93,0.14,-83.49,0.0,-100.0,0.0,-100.0,46.95,-4.83,-25.99,46.97
