opponent,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,10.29,30.87,-7.31,4.9,9.8,-11.76,4.59,13.77,-10.94,1.88,7.52,-2.64,0.64,0.64,4.75,0.6,-1.8,-1.8,0.11,0.66,11.11,0.07,0.07,-23.08,15.19,-8.81,9.88,-9.22,4.25,-6.45,0.31,-18.85,4.29,-10.12,0.66,4.93,1.71,7.28,71.75,-4.22,2.89,-14.72,280.83,-5.98,68.24,-5.3,1.21,-9.43,0.91,-8.82,1.23,-10.68,1.06,-13.54,61.7,-3.65,-8.13,61.53
Brisbane Lions,10.83,32.49,-2.45,5.98,11.96,7.69,4.67,14.01,-9.39,2.04,8.16,5.64,0.56,0.56,-8.35,0.66,-1.98,8.02,0.06,0.36,-39.39,0.15,0.15,64.84,16.81,0.92,10.44,-4.08,4.77,5.0,0.39,2.09,4.28,-10.33,0.79,25.6,1.49,-6.52,73.53,-1.84,3.82,12.72,301.67,0.99,70.45,-2.23,1.33,-0.45,1.1,10.22,1.64,19.1,1.48,20.72,66.21,1.72,-1.41,65.71
Carlton,10.02,30.06,-9.75,5.63,11.26,1.39,4.57,13.71,-11.33,1.86,7.44,-3.68,0.56,0.56,-8.35,0.67,-2.01,9.66,0.18,1.08,81.82,0.15,0.15,64.84,15.65,-6.05,9.93,-8.77,4.51,-0.73,0.34,-10.99,4.23,-11.38,0.61,-3.02,1.59,-0.25,73.22,-2.25,3.06,-9.71,275.04,-7.92,71.83,-0.32,1.28,-4.19,0.95,-4.81,1.36,-1.23,1.2,-2.12,62.66,-3.9,-6.7,62.25
Collingwood,12.14,36.42,9.35,5.89,11.78,6.07,5.45,16.35,5.74,1.98,7.92,2.54,0.71,0.71,16.2,0.61,-1.83,-0.16,0.04,0.24,-59.6,0.06,0.06,-34.07,18.03,8.24,11.46,5.29,4.96,9.18,0.35,-8.38,5.1,6.85,0.81,28.78,1.54,-3.39,76.75,2.46,3.41,0.62,289.63,-3.04,74.69,3.65,1.36,1.8,1.2,20.24,1.75,27.09,1.57,28.06,71.66,7.68,6.7,71.65
Essendon,10.91,32.73,-1.73,5.89,11.78,6.07,5.08,15.24,-1.44,1.91,7.64,-1.09,0.6,0.6,-1.8,0.59,-1.77,-3.44,0.06,0.36,-39.39,0.1,0.1,9.89,16.8,0.86,11.11,2.08,4.5,-0.95,0.36,-5.76,4.72,-1.11,0.71,12.88,1.55,-2.76,76.79,2.51,3.52,3.87,303.21,1.51,73.92,2.58,1.23,-7.93,0.88,-11.82,1.29,-6.32,1.1,-10.28,66.73,-2.52,-0.64,66.68
Fremantle,10.95,32.85,-1.37,5.6,11.2,0.85,5.54,16.62,7.49,1.73,6.92,-10.41,0.45,0.45,-26.35,0.6,-1.8,-1.8,0.1,0.6,1.01,0.04,0.04,-56.04,16.55,-0.64,10.99,0.97,4.42,-2.71,0.39,2.09,5.15,7.9,0.51,-18.92,1.38,-13.43,78.87,5.29,3.33,-1.74,286.82,-3.98,76.69,6.43,1.28,-4.19,0.89,-10.82,1.28,-7.04,1.14,-7.01,66.98,1.67,-0.27,66.88
GWS GIANTS,10.21,30.63,-8.03,4.92,9.84,-11.4,4.49,13.47,-12.88,1.85,7.4,-4.19,0.62,0.62,1.47,0.58,-1.74,-5.07,0.1,0.6,1.01,0.1,0.1,9.89,15.13,-9.17,9.82,-9.78,4.26,-6.23,0.28,-26.7,4.21,-11.8,0.59,-6.2,1.44,-9.66,73.34,-2.09,3.18,-6.17,293.52,-1.74,69.98,-2.89,1.35,1.05,0.94,-5.81,1.19,-13.58,1.12,-8.65,60.97,-3.9,-9.21,60.92
Geelong Cats,11.12,33.36,0.16,5.37,10.74,-3.3,4.99,14.97,-3.18,1.93,7.72,-0.05,0.59,0.59,-3.44,0.55,-1.65,-9.98,0.12,0.72,21.21,0.09,0.09,-1.1,16.49,-1.0,10.65,-2.15,4.52,-0.51,0.39,2.09,4.59,-3.83,0.71,12.88,1.64,2.89,73.14,-2.36,3.49,2.98,303.97,1.76,69.87,-3.04,1.4,4.79,0.91,-8.82,1.33,-3.41,1.21,-1.31,66.56,-0.53,-0.89,66.54
Gold Coast SUNS,11.3,33.9,1.78,5.89,11.78,6.07,5.09,15.27,-1.24,2.16,8.64,11.86,0.68,0.68,11.29,0.51,-1.53,-16.53,0.06,0.36,-39.39,0.11,0.11,20.88,17.19,3.2,11.32,4.01,4.74,4.34,0.43,12.57,4.67,-2.16,0.66,4.93,1.61,1.0,75.02,0.15,3.84,13.31,325.95,9.12,73.01,1.32,1.43,7.04,1.09,9.22,1.26,-8.5,1.14,-7.01,69.21,0.18,3.06,69.21
Hawthorn,12.12,36.36,9.17,5.34,10.68,-3.84,6.04,18.12,17.19,2.23,8.92,15.48,0.63,0.63,3.11,0.79,-2.37,29.3,0.07,0.42,-29.29,0.08,0.08,-12.09,17.47,4.88,11.83,8.69,4.39,-3.37,0.45,17.8,5.59,17.12,0.44,-30.05,1.54,-3.39,78.5,4.8,3.64,7.41,311.7,4.35,76.19,5.73,1.47,10.03,0.87,-12.83,1.51,9.66,1.34,9.3,72.89,3.61,8.54,72.84
