team.name,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,metresGained W Mean,metresGained Scalar,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.kickins W Mean,extendedStats.kickins Scalar,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,10.17,30.51,-8.41,5.31,10.62,-4.39,4.48,13.44,-13.09,2.19,8.76,13.41,0.63,0.63,2.94,0.71,-2.13,16.2,0.09,0.54,-8.16,0.1,0.1,7.53,15.48,-7.07,9.95,-8.6,4.47,-1.65,0.42,9.95,4.06,-14.96,0.59,-6.2,1.54,-3.39,75.21,0.4,3.45,1.8,294.47,-1.42,71.58,-0.66,1.12,-16.23,0.85,-14.74,1.2,-12.85,1.02,-16.87,62.56,0.49,-6.85,62.47
Brisbane Lions,11.99,35.97,7.98,3.86,7.72,-30.5,5.38,16.14,4.36,1.68,6.72,-13.0,0.66,0.66,7.84,0.57,-1.71,-6.71,0.05,0.3,-48.98,0.12,0.12,29.03,15.85,-4.85,10.37,-4.74,4.12,-9.35,0.24,-37.17,5.14,7.67,0.57,-9.38,1.83,14.81,73.4,-2.01,2.64,-22.1,294.75,-1.32,71.47,-0.82,1.24,-7.26,1.29,29.39,1.57,14.02,1.36,10.84,65.94,6.74,-1.81,65.92
Carlton,12.46,37.38,12.21,5.2,10.4,-6.37,5.73,17.19,11.15,2.6,10.4,34.65,0.71,0.71,16.01,0.64,-1.92,4.75,0.09,0.54,-8.16,0.1,0.1,7.53,17.65,5.96,11.21,2.98,4.9,7.81,0.55,43.98,5.18,8.5,0.72,14.47,1.54,-3.39,76.54,2.18,3.7,9.18,325.17,8.86,72.19,0.18,1.57,17.43,1.18,18.36,1.7,23.46,1.37,11.65,74.81,3.18,11.4,74.8
Collingwood,9.83,29.49,-11.47,5.29,10.58,-4.75,4.28,12.84,-16.97,2.14,8.56,10.82,0.73,0.73,19.28,0.64,-1.92,4.75,0.11,0.66,12.24,0.1,0.1,7.53,15.12,-9.23,9.59,-11.91,4.66,2.53,0.32,-16.23,3.96,-17.05,0.72,14.47,1.54,-3.39,70.34,-6.1,3.45,1.8,295.52,-1.07,67.35,-6.53,1.24,-7.26,1.05,5.32,1.03,-25.2,0.97,-20.95,61.06,-10.11,-9.08,61.04
Essendon,13.25,39.75,19.33,7.64,15.28,37.56,5.81,17.43,12.71,1.85,7.4,-4.19,0.67,0.67,9.48,0.49,-1.47,-19.8,0.19,1.14,93.88,0.12,0.12,29.03,20.89,25.41,14.04,28.97,5.02,10.45,0.37,-3.14,5.44,13.95,0.64,1.75,1.8,12.92,78.35,4.6,3.71,9.47,335.33,12.26,73.58,2.11,1.28,-4.26,1.11,11.33,1.71,24.18,1.61,31.21,80.34,5.41,19.63,80.32
Fremantle,11.25,33.75,1.31,5.79,11.58,4.25,5.27,15.81,2.23,1.95,7.8,0.98,0.65,0.65,6.21,0.61,-1.83,-0.16,0.06,0.36,-38.78,0.05,0.05,-46.24,17.03,2.23,11.83,8.67,4.16,-8.47,0.31,-18.85,4.96,3.9,0.71,12.88,1.79,12.3,73.85,-1.41,3.37,-0.56,296.82,-0.63,70.85,-1.68,1.19,-10.99,0.93,-6.72,1.27,-7.77,1.14,-7.09,68.14,-3.6,1.46,68.17
GWS GIANTS,13.19,39.57,18.79,8.63,17.26,55.38,6.25,18.75,21.24,2.12,8.48,9.79,0.53,0.53,-13.4,0.67,-2.01,9.66,0.02,0.12,-79.59,0.04,0.04,-56.99,21.81,30.93,14.59,34.03,5.1,12.21,0.23,-39.79,6.02,26.1,0.7,11.29,1.62,1.63,80.43,7.37,4.65,37.21,361.2,20.92,78.58,9.05,0.95,-28.95,1.0,0.3,2.37,72.11,2.19,78.48,82.77,8.92,23.25,82.74
Geelong Cats,11.0,33.0,-0.94,5.26,10.52,-5.29,5.39,16.17,4.56,2.16,8.64,11.86,0.52,0.52,-15.03,0.47,-1.41,-23.08,0.17,1.02,73.47,0.1,0.1,7.53,16.26,-2.39,9.81,-9.88,4.94,8.69,0.6,57.07,4.79,0.34,0.68,8.11,1.45,-9.03,75.71,1.07,3.69,8.88,303.61,1.64,74.26,3.05,1.85,38.37,1.1,10.33,1.38,0.22,1.15,-6.28,68.77,6.11,2.4,68.56
Gold Coast SUNS,9.92,29.76,-10.66,5.5,11.0,-0.97,4.9,14.7,-4.95,1.71,6.84,-11.44,0.78,0.78,27.45,0.64,-1.92,4.75,0.13,0.78,32.65,0.15,0.15,61.29,15.42,-7.43,9.74,-10.53,4.92,8.25,0.52,36.13,4.38,-8.25,0.65,3.34,1.69,6.02,71.97,-3.92,3.19,-5.87,289.19,-3.19,68.24,-5.3,1.8,34.63,1.01,1.3,0.94,-31.74,0.82,-33.17,63.02,6.34,-6.16,62.09
Hawthorn,11.11,33.33,0.05,6.49,12.98,16.85,5.02,15.06,-2.62,2.05,8.2,6.16,0.71,0.71,16.01,0.58,-1.74,-5.07,0.23,1.38,134.69,0.15,0.15,61.29,17.61,5.71,11.62,6.74,5.07,11.55,0.35,-8.38,4.67,-2.18,0.82,30.37,1.93,21.08,77.0,2.79,3.04,-10.3,309.17,3.5,73.22,1.61,1.29,-3.52,1.12,12.34,1.14,-17.21,1.05,-14.43,70.23,2.22,4.58,70.07
