,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Opening Round,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.55,104.67,0.0,0.0
Sydney Swans,Round 1,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.22,106.55,16.18,122.33
West Coast Eagles,Round 2,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.78,103.41,-4.39,100.67
Richmond,Round 4,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.94,113.1,24.42,131.0
Western Bulldogs,Round 5,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.85,104.36,-37.32,66.0
Collingwood,Round 6,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.54,112.62,-4.55,100.5
St Kilda,Round 7,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.43,114.94,-5.97,99.0
Gold Coast SUNS,Round 8,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.66,108.13,2.85,108.29
North Melbourne,Round 9,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,3.16,102.03,0.0,0.0
Melbourne,Round 10,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.92,108.41,11.44,117.33
Hawthorn,Round 11,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.56,115.11,-23.38,80.67
Essendon,Round 12,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,1.12,104.08,4.16,109.67
Adelaide Crows,Round 13,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.68,96.85,-5.84,99.14
GWS GIANTS,Round 14,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.79,95.86,-30.03,73.67
Geelong Cats,Round 15,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.55,104.67,0.0,0.0
Port Adelaide,Round 17,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.29,99.96,-10.72,94.0
Carlton,Round 18,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.36,97.13,0.0,0.0
Western Bulldogs,Round 19,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.85,104.36,-37.32,66.0
Gold Coast SUNS,Round 20,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.66,108.13,2.85,108.29
Collingwood,Round 21,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.54,112.62,-4.55,100.5
Sydney Swans,Round 22,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.22,106.55,16.18,122.33
Fremantle,Round 23,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.41,104.82,-13.57,91.0
Hawthorn,Round 24,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.56,115.11,-23.38,80.67
