,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.77,96.19,-27.35,76.0
Geelong Cats,Round 2,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.85,103.75,-15.88,88.0
Richmond,Round 3,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-5.72,110.97,-11.1,93.0
Port Adelaide,Round 4,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,4.7,99.93,29.05,135.0
GWS GIANTS,Round 5,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.71,95.37,-19.7,84.0
Western Bulldogs,Round 6,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.59,104.01,39.57,146.0
Brisbane Lions,Round 7,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.08,103.51,-8.07,96.17
Fremantle,Round 8,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.78,103.82,-1.54,103.0
Carlton,Round 9,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.9,96.97,33.83,140.0
West Coast Eagles,Round 10,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,2.23,102.35,-15.88,88.0
Gold Coast SUNS,Round 11,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.1,107.98,11.84,117.0
Melbourne,Round 12,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.25,107.03,-6.32,98.0
Western Bulldogs,Round 14,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.59,104.01,39.57,146.0
Collingwood,Round 15,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.84,112.31,3.24,108.0
Fremantle,Round 16,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.78,103.82,-1.54,103.0
Hawthorn,Round 17,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.08,113.82,-8.23,96.0
Sydney Swans,Round 18,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.04,105.73,-2.49,102.0
Geelong Cats,Round 19,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.85,103.75,-15.88,88.0
Melbourne,Round 20,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.25,107.03,-6.32,98.0
North Melbourne,Round 21,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.97,101.61,0.0,0.0
Richmond,Round 22,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-5.72,110.97,-11.1,93.0
Essendon,Round 23,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.42,104.19,-3.45,101.0
GWS GIANTS,Round 24,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.71,95.37,-19.7,84.0
