,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.79,92.79,14.8,107.33
Sydney Swans,Round 2,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.75,94.23,-35.97,59.86
West Coast Eagles,Round 3,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.28,92.34,4.21,97.43
Western Bulldogs,Round 4,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.78,92.8,-3.58,90.14
Richmond,Round 5,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.33,99.84,2.15,95.5
Melbourne,Round 6,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.87,96.29,26.75,118.5
Adelaide Crows,Round 7,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,8.9,85.88,-5.87,88.0
St Kilda,Round 8,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.86,101.5,22.29,114.33
Collingwood,Round 9,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.5,100.02,36.91,128.0
GWS GIANTS,Round 10,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,9.98,85.04,-20.24,74.57
Port Adelaide,Round 11,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.54,88.61,-15.85,78.67
Gold Coast SUNS,Round 12,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.14,96.55,-16.92,77.67
North Melbourne,Round 14,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.48,91.26,5.89,99.0
Essendon,Round 15,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.52,93.03,-12.29,82.0
St Kilda,Round 16,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-7.86,101.5,22.29,114.33
Sydney Swans,Round 17,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.75,94.23,-35.97,59.86
Hawthorn,Round 18,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.79,101.42,5.36,98.5
Collingwood,Round 19,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.5,100.02,36.91,128.0
West Coast Eagles,Round 20,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.28,92.34,4.21,97.43
Carlton,Round 21,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,7.65,86.87,-0.17,93.33
Port Adelaide,Round 22,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.54,88.61,-15.85,78.67
Brisbane Lions,Round 23,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.86,91.81,-6.41,87.5
Western Bulldogs,Round 24,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.78,92.8,-3.58,90.14
