,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Opening Round,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-6.92,89.18,31.26,109.0
Melbourne,Round 1,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.92,85.51,-6.07,78.0
Hawthorn,Round 3,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.01,90.24,-1.85,81.5
West Coast Eagles,Round 4,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.83,81.52,-57.45,35.33
St Kilda,Round 5,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.32,90.54,5.17,87.33
Adelaide Crows,Round 6,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.41,75.87,1.96,84.67
Western Bulldogs,Round 7,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.48,82.62,22.83,102.0
Sydney Swans,Round 8,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.14,83.97,-3.66,80.0
Geelong Cats,Round 9,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,1.13,82.08,14.4,95.0
Fremantle,Round 10,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,-0.14,83.13,16.81,97.0
Carlton,Round 11,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.31,76.64,-2.63,80.86
Richmond,Round 12,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.73,89.0,16.81,97.0
Port Adelaide,Round 13,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,6.23,78.14,-8.48,76.0
Brisbane Lions,Round 14,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.65,81.67,-10.89,74.0
Gold Coast SUNS,Round 15,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.96,85.54,-9.68,75.0
West Coast Eagles,Round 17,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.83,81.52,-57.45,35.33
Geelong Cats,Round 18,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,1.13,82.08,14.4,95.0
Essendon,Round 19,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.14,82.89,3.96,86.33
Sydney Swans,Round 20,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.14,83.97,-3.66,80.0
Western Bulldogs,Round 21,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.48,82.62,22.83,102.0
North Melbourne,Round 22,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,3.15,80.47,-15.31,70.33
Gold Coast SUNS,Round 23,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.96,85.54,-9.68,75.0
St Kilda,Round 24,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.32,90.54,5.17,87.33
