,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Opening Round,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-7.1,117.22,16.02,126.33
Melbourne,Round 1,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-3.1,112.38,8.67,118.33
Hawthorn,Round 3,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-7.45,117.66,5.91,115.33
West Coast Eagles,Round 4,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.8,106.98,-6.33,102.0
St Kilda,Round 5,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.04,118.42,-1.86,106.86
Adelaide Crows,Round 6,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.34,99.6,20.76,131.5
Western Bulldogs,Round 7,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.93,107.9,16.02,126.33
Sydney Swans,Round 8,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.71,109.67,-28.37,78.0
Geelong Cats,Round 9,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.9,107.93,-13.67,94.0
Fremantle,Round 10,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.25,108.63,-3.44,105.14
Carlton,Round 11,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.46,100.4,-8.32,99.83
Richmond,Round 12,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-6.64,116.64,5.48,114.86
Port Adelaide,Round 13,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.73,102.99,0.1,109.0
Brisbane Lions,Round 14,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,1.42,107.38,-21.32,85.67
Gold Coast SUNS,Round 15,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.52,112.88,5.61,115.0
West Coast Eagles,Round 17,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,1.8,106.98,-6.33,102.0
Geelong Cats,Round 18,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.9,107.93,-13.67,94.0
Essendon,Round 19,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.02,108.87,-21.64,85.33
Sydney Swans,Round 20,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-0.71,109.67,-28.37,78.0
Western Bulldogs,Round 21,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.93,107.9,16.02,126.33
North Melbourne,Round 22,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,2.82,105.91,-11.22,96.67
Gold Coast SUNS,Round 23,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-3.52,112.88,5.61,115.0
St Kilda,Round 24,-9.0,-1.55,-13.23,-4.88,0.16,-8.81,64.99,-9.0,-8.04,118.42,-1.86,106.86
