,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,7.89,13.33,12.28,2.71,-4.53,1.83,-10.0,30.01,9.05,88.71,-45.21,53.0
Geelong Cats,Round 2,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.84,95.94,-9.73,87.33
Richmond,Round 3,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-7.08,104.11,7.16,103.67
Port Adelaide,Round 4,2.32,10.84,18.22,-6.72,-7.42,0.16,10.0,1.11,5.53,91.67,0.96,97.67
GWS GIANTS,Round 5,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.03,87.93,-1.11,95.67
Western Bulldogs,Round 6,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.63,96.13,-29.37,68.33
Brisbane Lions,Round 7,2.51,-7.14,10.36,-5.34,9.11,-7.42,64.99,-39.34,2.17,94.68,-7.14,89.83
Fremantle,Round 8,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.21,96.54,-0.07,96.67
Carlton,Round 9,10.8,-1.37,12.78,3.82,9.11,-8.81,-45.0,-39.34,8.98,88.77,-33.33,64.5
West Coast Eagles,Round 10,5.73,-3.09,-0.7,-0.97,15.29,11.09,-41.77,13.75,2.48,94.4,-3.87,93.0
Gold Coast SUNS,Round 11,-1.75,-5.72,1.26,-10.6,-10.14,19.8,64.99,-17.27,-2.76,99.49,9.57,106.0
Melbourne,Round 12,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.84,99.56,19.22,115.33
Western Bulldogs,Round 14,0.11,-0.13,-1.26,4.94,-8.81,-18.53,-1.0,127.48,0.63,96.13,-29.37,68.33
Collingwood,Round 15,-8.55,-5.72,-5.43,-2.48,-13.94,0.16,147.52,51.68,-7.08,104.11,6.81,103.33
Fremantle,Round 16,1.39,-0.84,-6.97,11.62,35.78,1.83,-1.0,127.48,0.21,96.54,-0.07,96.67
Hawthorn,Round 17,-8.4,3.99,-14.67,-13.4,-3.02,-22.66,41.42,13.75,-8.53,105.76,17.5,113.67
Sydney Swans,Round 18,-3.29,1.7,-3.12,10.34,-8.81,-15.14,-1.0,-9.0,-1.49,98.21,21.98,118.0
Geelong Cats,Round 19,-0.16,3.41,3.28,0.05,3.56,11.09,-17.5,1.11,0.84,95.94,-9.73,87.33
Melbourne,Round 20,-2.27,-2.41,-6.12,4.94,5.34,27.29,-10.0,81.98,-2.84,99.56,19.22,115.33
North Melbourne,Round 21,5.93,-3.93,7.15,-3.93,3.56,11.09,-34.0,-30.0,3.7,93.29,8.54,105.0
Richmond,Round 22,-7.41,-2.07,-13.23,14.26,-6.0,22.2,-1.0,-9.0,-7.08,104.11,7.16,103.67
Essendon,Round 23,1.76,-5.72,1.46,1.1,1.83,3.56,64.99,-9.0,0.65,96.12,-23.85,73.67
GWS GIANTS,Round 24,8.73,12.87,14.78,4.37,-1.45,5.34,-1.0,-9.0,10.03,87.93,-1.11,95.67
