,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
St Kilda,Round 1,254.1,13.38,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,-9.32,230.43
Essendon,Round 2,254.1,2.92,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-6.11,238.57
North Melbourne,Round 3,254.1,0.09,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-1.16,251.14
Gold Coast SUNS,Round 4,254.1,7.93,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,7.66,273.57
Geelong Cats,Round 5,254.1,4.25,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,1.14,257.0
GWS GIANTS,Round 6,254.1,-4.54,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,1.48,257.86
Fremantle,Round 7,254.1,3.05,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,13.73,289.0
Carlton,Round 8,254.1,-1.71,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,5.36,267.71
Port Adelaide,Round 9,254.1,1.44,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-3.05,246.36
Collingwood,Round 10,254.1,12.72,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,2.86,261.36
West Coast Eagles,Round 11,254.1,3.76,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,4.12,264.57
Sydney Swans,Round 12,254.1,6.62,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-7.35,235.43
Brisbane Lions,Round 13,254.1,4.56,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-10.39,227.71
Hawthorn,Round 14,254.1,12.48,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,9.97,279.43
Richmond,Round 16,254.1,10.85,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,9.24,277.57
Melbourne,Round 17,254.1,7.42,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,7.61,273.43
Western Bulldogs,Round 18,254.1,3.84,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-10.61,227.14
Gold Coast SUNS,Round 19,254.1,7.93,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,7.66,273.57
Port Adelaide,Round 20,254.1,1.44,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-3.05,246.36
Hawthorn,Round 21,254.1,12.48,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,9.97,279.43
West Coast Eagles,Round 22,254.1,3.76,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,4.12,264.57
Collingwood,Round 23,254.1,12.72,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,2.86,261.36
North Melbourne,Round 24,254.1,0.09,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-1.16,251.14
