,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Geelong Cats,Opening Round,270.34,5.53,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-15.61,228.14
Sydney Swans,Round 1,270.34,9.19,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-2.72,263.0
West Coast Eagles,Round 2,270.34,4.07,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-4.62,257.86
Richmond,Round 4,270.34,13.21,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,28.99,348.71
Western Bulldogs,Round 5,270.34,5.63,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-6.26,253.43
Collingwood,Round 6,270.34,14.85,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-10.53,241.86
St Kilda,Round 7,270.34,15.44,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,0.72,272.29
Gold Coast SUNS,Round 8,270.34,8.37,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,8.89,294.36
North Melbourne,Round 9,270.34,-0.13,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-15.13,229.43
Melbourne,Round 10,270.34,8.95,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,8.46,293.21
Hawthorn,Round 11,270.34,14.84,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-2.13,264.57
Essendon,Round 12,270.34,3.78,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,4.5,282.5
Adelaide Crows,Round 13,270.34,-2.26,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-8.69,246.86
GWS GIANTS,Round 14,270.34,-3.43,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-8.16,248.29
Geelong Cats,Round 15,270.34,5.53,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-15.61,228.14
Port Adelaide,Round 17,270.34,2.69,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-3.56,260.71
Carlton,Round 18,270.34,-1.23,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-29.77,189.86
Western Bulldogs,Round 19,270.34,5.63,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-6.26,253.43
Gold Coast SUNS,Round 20,270.34,8.37,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,8.89,294.36
Collingwood,Round 21,270.34,14.85,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-10.53,241.86
Sydney Swans,Round 22,270.34,9.19,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-2.72,263.0
Fremantle,Round 23,270.34,4.78,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-14.71,230.57
Hawthorn,Round 24,270.34,14.84,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-2.13,264.57
