,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Richmond,Round 1,302.32,11.6,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,7.48,324.93
Hawthorn,Round 2,302.32,14.0,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,4.53,316.0
Western Bulldogs,Round 3,302.32,4.86,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,11.47,337.0
Collingwood,Round 4,302.32,13.77,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,0.46,303.71
West Coast Eagles,Round 5,302.32,3.97,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,3.2,312.0
North Melbourne,Round 6,302.32,0.05,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-6.29,283.29
Geelong Cats,Round 7,302.32,4.91,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-6.77,281.86
Adelaide Crows,Round 8,302.32,-2.57,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-17.07,250.71
St Kilda,Round 9,302.32,14.52,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,6.94,323.29
Sydney Swans,Round 10,302.32,7.87,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-4.93,287.43
GWS GIANTS,Round 11,302.32,-3.89,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-9.25,274.36
Essendon,Round 13,302.32,3.38,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,0.89,305.0
West Coast Eagles,Round 14,302.32,3.97,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,3.2,312.0
North Melbourne,Round 15,302.32,0.05,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-6.29,283.29
Port Adelaide,Round 16,302.32,2.38,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-9.79,272.71
Collingwood,Round 17,302.32,13.77,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,0.46,303.71
Brisbane Lions,Round 18,302.32,5.16,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-13.38,261.86
Melbourne,Round 19,302.32,7.99,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,-6.49,282.71
Hawthorn,Round 20,302.32,14.0,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,4.53,316.0
Fremantle,Round 21,302.32,3.81,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,3.56,313.07
Gold Coast SUNS,Round 22,302.32,8.26,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,12.65,340.57
Port Adelaide,Round 23,302.32,2.38,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-9.79,272.71
Essendon,Round 24,302.32,3.38,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,0.89,305.0
