,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,250.83,-4.66,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,3.26,259.0
Port Adelaide,Round 1,250.83,1.22,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-6.59,234.29
Western Bulldogs,Round 2,250.83,3.69,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,31.34,329.43
Carlton,Round 4,250.83,-1.67,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,1.32,254.14
Sydney Swans,Round 5,250.83,6.4,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,11.23,279.0
Brisbane Lions,Round 6,250.83,4.3,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,6.22,266.43
Essendon,Round 7,250.83,2.73,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,8.36,271.79
Geelong Cats,Round 8,250.83,4.12,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,11.63,280.0
Fremantle,Round 9,250.83,2.85,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,0.98,253.29
Adelaide Crows,Round 10,250.83,-3.39,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,10.38,276.86
North Melbourne,Round 11,250.83,0.14,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-6.65,234.14
Hawthorn,Round 12,250.83,12.11,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-2.21,245.29
Melbourne,Round 13,250.83,7.27,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,19.6,300.0
St Kilda,Round 15,250.83,13.08,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,9.12,273.71
West Coast Eagles,Round 16,250.83,3.76,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-5.69,236.57
Carlton,Round 17,250.83,-1.67,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,1.32,254.14
Gold Coast SUNS,Round 18,250.83,7.8,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,8.3,271.64
Fremantle,Round 19,250.83,2.85,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,0.98,253.29
Richmond,Round 20,250.83,10.66,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,-8.7,229.0
Brisbane Lions,Round 21,250.83,4.3,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,6.22,266.43
Hawthorn,Round 22,250.83,12.11,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-2.21,245.29
Adelaide Crows,Round 23,250.83,-3.39,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,10.38,276.86
Melbourne,Round 24,250.83,7.27,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,19.6,300.0
