,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,323.65,8.33,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-0.95,320.57
Hawthorn,Round 1,323.65,13.35,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-10.8,288.71
Adelaide Crows,Round 2,323.65,-2.48,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-4.97,307.57
Port Adelaide,Round 3,323.65,2.25,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-11.3,287.07
Melbourne,Round 5,323.65,8.6,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,0.9,326.57
West Coast Eagles,Round 6,323.65,5.05,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,10.79,358.57
Collingwood,Round 7,323.65,13.99,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,3.2,334.0
North Melbourne,Round 8,323.65,0.72,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-9.65,292.43
Sydney Swans,Round 9,323.65,8.93,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-10.97,288.14
Western Bulldogs,Round 10,323.65,5.72,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,1.92,329.86
Richmond,Round 11,323.65,12.3,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,9.91,355.71
Brisbane Lions,Round 12,323.65,5.8,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,12.27,363.36
Carlton,Round 13,323.65,0.21,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,0.15,324.14
Geelong Cats,Round 14,323.65,5.29,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-22.14,252.0
Fremantle,Round 15,323.65,4.75,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-19.22,261.43
Gold Coast SUNS,Round 17,323.65,8.33,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-0.95,320.57
Richmond,Round 18,323.65,12.3,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,9.91,355.71
GWS GIANTS,Round 19,323.65,-3.62,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,5.1,340.14
Western Bulldogs,Round 20,323.65,5.72,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,1.92,329.86
Sydney Swans,Round 21,323.65,8.93,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-10.97,288.14
Geelong Cats,Round 22,323.65,5.29,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-22.14,252.0
St Kilda,Round 23,323.65,14.33,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,5.23,340.57
Carlton,Round 24,323.65,0.21,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,0.15,324.14
