,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Geelong Cats,Round 1,278.29,4.23,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,29.67,360.86
Sydney Swans,Round 2,278.29,7.3,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-15.15,236.14
West Coast Eagles,Round 3,278.29,3.61,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-5.16,263.93
Western Bulldogs,Round 4,278.29,4.34,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-1.75,273.43
Richmond,Round 5,278.29,11.6,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,3.64,288.43
Melbourne,Round 6,278.29,7.82,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,6.34,295.93
Adelaide Crows,Round 7,278.29,-3.36,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-2.82,270.43
St Kilda,Round 8,278.29,13.95,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,9.49,304.71
Collingwood,Round 9,278.29,13.35,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-0.21,277.71
GWS GIANTS,Round 10,278.29,-4.59,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-6.62,259.86
Port Adelaide,Round 11,278.29,1.23,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,1.02,281.14
Gold Coast SUNS,Round 12,278.29,7.77,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-10.47,249.14
North Melbourne,Round 14,278.29,-0.28,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,9.85,305.71
Essendon,Round 15,278.29,3.24,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,11.29,309.71
St Kilda,Round 16,278.29,13.95,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,9.49,304.71
Sydney Swans,Round 17,278.29,7.3,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-15.15,236.14
Hawthorn,Round 18,278.29,12.93,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,12.83,314.0
Collingwood,Round 19,278.29,13.35,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-0.21,277.71
West Coast Eagles,Round 20,278.29,3.61,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-5.16,263.93
Carlton,Round 21,278.29,-1.94,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-10.12,250.14
Port Adelaide,Round 22,278.29,1.23,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,1.02,281.14
Brisbane Lions,Round 23,278.29,4.67,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,20.84,336.29
Western Bulldogs,Round 24,278.29,4.34,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-1.75,273.43
