,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Collingwood,Opening Round,332.11,17.27,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,9.34,363.14
Melbourne,Round 1,332.11,10.39,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,-1.63,326.71
Hawthorn,Round 3,332.11,15.77,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-5.24,314.71
West Coast Eagles,Round 4,332.11,6.12,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-8.81,302.86
St Kilda,Round 5,332.11,16.56,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,-5.8,312.86
Adelaide Crows,Round 6,332.11,-1.09,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,12.05,372.14
Western Bulldogs,Round 7,332.11,7.7,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,4.5,347.07
Sydney Swans,Round 8,332.11,11.19,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-11.13,295.14
Geelong Cats,Round 9,332.11,6.89,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-9.41,300.86
Fremantle,Round 10,332.11,6.7,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-0.44,330.64
Carlton,Round 11,332.11,1.01,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-8.33,304.43
Richmond,Round 12,332.11,14.22,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,2.25,339.57
Port Adelaide,Round 13,332.11,4.63,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-11.13,295.14
Brisbane Lions,Round 14,332.11,8.75,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-8.38,304.29
Gold Coast SUNS,Round 15,332.11,10.39,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,0.74,334.57
West Coast Eagles,Round 17,332.11,6.12,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-8.81,302.86
Geelong Cats,Round 18,332.11,6.89,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-9.41,300.86
Essendon,Round 19,332.11,6.18,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-4.12,318.43
Sydney Swans,Round 20,332.11,11.19,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-11.13,295.14
Western Bulldogs,Round 21,332.11,7.7,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,4.5,347.07
North Melbourne,Round 22,332.11,1.48,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-14.23,284.86
Gold Coast SUNS,Round 23,332.11,10.39,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,0.74,334.57
St Kilda,Round 24,332.11,16.56,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,-5.8,312.86
