,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,277.35,3.92,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-1.72,272.57
Fremantle,Round 1,277.35,3.2,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-10.43,248.43
St Kilda,Round 2,277.35,13.28,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,19.75,332.14
Melbourne,Round 4,277.35,7.24,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,-0.38,276.29
Adelaide Crows,Round 5,277.35,-3.44,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,3.63,287.43
Hawthorn,Round 6,277.35,12.58,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-8.16,254.71
Carlton,Round 7,277.35,-1.4,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-8.99,252.43
Collingwood,Round 8,277.35,12.16,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,4.05,288.57
GWS GIANTS,Round 9,277.35,-4.78,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,0.03,277.43
Port Adelaide,Round 10,277.35,0.94,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-0.8,275.14
Western Bulldogs,Round 11,277.35,4.03,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,2.5,284.29
West Coast Eagles,Round 12,277.35,3.8,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-0.72,275.36
Gold Coast SUNS,Round 13,277.35,7.18,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-14.75,236.43
Essendon,Round 14,277.35,2.33,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-4.56,264.71
Brisbane Lions,Round 15,277.35,3.92,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-1.72,272.57
Richmond,Round 17,277.35,10.76,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,-8.62,253.43
GWS GIANTS,Round 18,277.35,-4.78,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,0.03,277.43
St Kilda,Round 19,277.35,13.28,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,19.75,332.14
North Melbourne,Round 20,277.35,-0.27,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-0.72,275.36
Port Adelaide,Round 21,277.35,0.94,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-0.8,275.14
Essendon,Round 22,277.35,2.33,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-4.56,264.71
Sydney Swans,Round 23,277.35,6.94,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-7.95,255.29
Richmond,Round 24,277.35,10.76,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,-8.62,253.43
