,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Essendon,Opening Round,257.33,0.59,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,5.98,272.71
West Coast Eagles,Round 1,257.33,1.72,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-17.03,213.5
Melbourne,Round 3,257.33,5.36,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,0.7,259.14
Adelaide Crows,Round 4,257.33,-5.66,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-33.99,169.86
North Melbourne,Round 5,257.33,-1.93,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,0.43,258.43
Richmond,Round 6,257.33,9.07,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,7.26,276.0
Sydney Swans,Round 7,257.33,4.36,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,1.59,261.43
Brisbane Lions,Round 8,257.33,1.68,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-7.73,237.43
Western Bulldogs,Round 9,257.33,1.58,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-7.24,238.71
Hawthorn,Round 10,257.33,9.7,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,2.01,262.5
St Kilda,Round 11,257.33,10.93,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,48.06,381.0
Fremantle,Round 12,257.33,1.16,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,10.53,284.43
Geelong Cats,Round 13,257.33,1.8,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,13.42,291.86
GWS GIANTS,Round 15,257.33,-6.87,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-11.95,226.57
Melbourne,Round 16,257.33,5.36,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,0.7,259.14
Essendon,Round 17,257.33,0.59,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,5.98,272.71
Collingwood,Round 18,257.33,9.88,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,0.96,259.79
Adelaide Crows,Round 19,257.33,-5.66,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-33.99,169.86
Brisbane Lions,Round 20,257.33,1.68,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-7.73,237.43
Richmond,Round 21,257.33,9.07,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,7.26,276.0
Carlton,Round 22,257.33,-3.74,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-2.13,251.86
GWS GIANTS,Round 23,257.33,-6.87,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-11.95,226.57
Port Adelaide,Round 24,257.33,-1.69,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-23.33,197.29
