,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Sydney Swans,Opening Round,283.6,6.35,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,3.92,294.71
Essendon,Round 1,283.6,2.05,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-9.03,258.0
Carlton,Round 2,283.6,-0.97,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,13.14,320.86
GWS GIANTS,Round 3,283.6,-5.02,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-10.49,253.86
Port Adelaide,Round 5,283.6,0.39,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-15.17,240.57
Geelong Cats,Round 6,283.6,3.8,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-14.52,242.43
West Coast Eagles,Round 7,283.6,4.07,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,15.86,328.57
Richmond,Round 8,283.6,10.34,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,6.34,301.57
Melbourne,Round 9,283.6,6.97,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,24.52,353.14
Gold Coast SUNS,Round 10,283.6,7.04,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-14.16,243.43
Brisbane Lions,Round 11,283.6,3.64,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,17.72,333.86
Collingwood,Round 12,283.6,11.34,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-5.2,268.86
Western Bulldogs,Round 13,283.6,3.6,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,11.2,315.36
Adelaide Crows,Round 14,283.6,-3.75,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-1.72,278.71
North Melbourne,Round 16,283.6,0.17,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,2.06,289.43
St Kilda,Round 17,283.6,12.36,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,-9.61,256.36
Fremantle,Round 18,283.6,2.79,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-9.78,255.86
Port Adelaide,Round 19,283.6,0.39,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-15.17,240.57
Carlton,Round 20,283.6,-0.97,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,13.14,320.86
Adelaide Crows,Round 21,283.6,-3.75,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-1.72,278.71
Collingwood,Round 22,283.6,11.34,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-5.2,268.86
Melbourne,Round 23,283.6,6.97,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,24.52,353.14
Brisbane Lions,Round 24,283.6,3.64,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,17.72,333.86
