,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
GWS GIANTS,Round 1,258.48,-5.19,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,0.2,259.0
North Melbourne,Round 2,258.48,-0.64,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-6.87,240.71
Gold Coast SUNS,Round 3,258.48,7.04,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-7.54,239.0
Geelong Cats,Round 4,258.48,3.57,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,6.34,274.86
Essendon,Round 5,258.48,2.43,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,13.69,293.86
Fremantle,Round 6,258.48,2.87,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-6.07,242.79
Richmond,Round 7,258.48,10.76,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,9.93,284.14
West Coast Eagles,Round 8,258.48,2.99,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-3.01,250.71
Hawthorn,Round 9,258.48,11.89,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,22.53,316.71
Brisbane Lions,Round 10,258.48,3.79,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-10.49,231.36
Sydney Swans,Round 11,258.48,6.34,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-11.96,227.57
St Kilda,Round 12,258.48,13.05,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,29.05,333.57
Collingwood,Round 13,258.48,12.24,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-5.33,244.71
Port Adelaide,Round 14,258.48,0.44,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-15.08,219.5
Gold Coast SUNS,Round 16,258.48,7.04,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-7.54,239.0
Adelaide Crows,Round 17,258.48,-3.97,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-4.88,245.86
North Melbourne,Round 18,258.48,-0.64,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-6.87,240.71
Carlton,Round 19,258.48,-2.42,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-8.75,235.86
St Kilda,Round 20,258.48,13.05,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,29.05,333.57
West Coast Eagles,Round 21,258.48,2.99,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-3.01,250.71
Western Bulldogs,Round 22,258.48,3.45,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,8.35,280.07
Hawthorn,Round 23,258.48,11.89,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,22.53,316.71
Collingwood,Round 24,258.48,12.24,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-5.33,244.71
