,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Western Bulldogs,Round 1,244.14,5.67,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-11.7,215.57
Melbourne,Round 2,244.14,9.03,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,4.04,254.0
Adelaide Crows,Round 3,244.14,-2.08,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-5.15,231.57
Sydney Swans,Round 4,244.14,8.85,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-3.66,235.21
Gold Coast SUNS,Round 5,244.14,9.19,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-1.43,240.64
Carlton,Round 6,244.14,-0.56,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-1.58,240.29
Port Adelaide,Round 7,244.14,3.09,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,9.07,266.29
Essendon,Round 8,244.14,4.37,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,10.42,269.57
Brisbane Lions,Round 9,244.14,6.24,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,22.06,298.0
Richmond,Round 10,244.14,12.73,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,12.93,275.71
Collingwood,Round 11,244.14,14.96,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-15.74,205.71
West Coast Eagles,Round 13,244.14,4.94,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-2.16,238.86
Fremantle,Round 14,244.14,4.8,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,28.38,313.43
Carlton,Round 15,244.14,-0.56,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-1.58,240.29
Hawthorn,Round 16,244.14,14.4,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-7.81,225.07
Western Bulldogs,Round 17,244.14,5.67,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-11.7,215.57
Melbourne,Round 18,244.14,9.03,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,4.04,254.0
Sydney Swans,Round 19,244.14,8.85,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-3.66,235.21
Geelong Cats,Round 20,244.14,5.7,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,29.35,315.79
St Kilda,Round 21,244.14,15.07,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,-0.23,243.57
GWS GIANTS,Round 22,244.14,-3.24,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-7.9,224.86
Richmond,Round 23,244.14,12.73,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,12.93,275.71
Adelaide Crows,Round 24,244.14,-2.08,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-5.15,231.57
