,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Collingwood,Round 1,250.81,14.09,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,3.04,258.43
Richmond,Round 2,250.81,12.42,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,-11.26,222.57
Essendon,Round 3,250.81,3.59,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-5.11,238.0
St Kilda,Round 4,250.81,14.81,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,8.33,271.71
Hawthorn,Round 5,250.81,14.35,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-0.89,248.57
Sydney Swans,Round 6,250.81,8.34,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,25.88,315.71
North Melbourne,Round 7,250.81,0.51,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,0.47,252.0
Western Bulldogs,Round 8,250.81,5.17,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,3.38,259.29
Adelaide Crows,Round 9,250.81,-2.22,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-13.8,216.21
Geelong Cats,Round 10,250.81,5.51,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,6.4,266.86
Fremantle,Round 11,250.81,4.32,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-1.24,247.71
GWS GIANTS,Round 13,250.81,-3.48,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,5.71,265.14
Melbourne,Round 14,250.81,8.69,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,4.8,262.86
Sydney Swans,Round 15,250.81,8.34,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,25.88,315.71
Carlton,Round 16,250.81,-0.83,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-0.32,250.0
Brisbane Lions,Round 17,250.81,5.17,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,2.07,256.0
West Coast Eagles,Round 18,250.81,4.71,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-10.75,223.86
Hawthorn,Round 19,250.81,14.35,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-0.89,248.57
Adelaide Crows,Round 20,250.81,-2.22,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-13.8,216.21
Geelong Cats,Round 21,250.81,5.51,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,6.4,266.86
Fremantle,Round 22,250.81,4.32,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-1.24,247.71
Carlton,Round 23,250.81,-0.83,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-0.32,250.0
Gold Coast SUNS,Round 24,250.81,8.68,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,5.6,264.86
