,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Carlton,Round 1,259.14,-1.09,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-5.7,244.36
Port Adelaide,Round 2,259.14,2.09,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-1.96,254.07
St Kilda,Round 3,259.14,14.95,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,6.89,277.0
Brisbane Lions,Round 4,259.14,5.5,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-9.43,234.71
Fremantle,Round 5,259.14,4.99,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-5.29,245.43
Gold Coast SUNS,Round 6,259.14,8.52,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-0.94,256.71
Melbourne,Round 7,259.14,9.04,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,5.57,273.57
Hawthorn,Round 8,259.14,14.01,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,11.5,288.93
West Coast Eagles,Round 9,259.14,4.58,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-3.11,251.07
North Melbourne,Round 10,259.14,0.23,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-13.23,224.86
Essendon,Round 11,259.14,4.06,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,6.26,275.36
GWS GIANTS,Round 12,259.14,-3.75,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-5.12,245.86
Sydney Swans,Round 13,259.14,8.73,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,15.33,298.86
Western Bulldogs,Round 15,259.14,5.43,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-5.46,245.0
Adelaide Crows,Round 16,259.14,-2.65,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-8.21,237.86
Geelong Cats,Round 17,259.14,5.27,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-3.36,250.43
Essendon,Round 18,259.14,4.06,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,6.26,275.36
West Coast Eagles,Round 19,259.14,4.58,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-3.11,251.07
Collingwood,Round 20,259.14,14.64,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,26.85,328.71
Gold Coast SUNS,Round 21,259.14,8.52,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-0.94,256.71
St Kilda,Round 22,259.14,14.95,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,6.89,277.0
North Melbourne,Round 23,259.14,0.23,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,-13.23,224.86
Geelong Cats,Round 24,259.14,5.27,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-3.36,250.43
