,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Adelaide Crows,Round 1,298.94,-4.29,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-19.53,240.57
Geelong Cats,Round 2,298.94,3.28,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-1.34,294.93
Richmond,Round 3,298.94,11.43,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,10.34,329.86
Port Adelaide,Round 4,298.94,-0.27,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-3.71,287.86
GWS GIANTS,Round 5,298.94,-5.55,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-5.24,283.29
Western Bulldogs,Round 6,298.94,3.55,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-13.65,258.14
Brisbane Lions,Round 7,298.94,3.32,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-3.47,288.57
Fremantle,Round 8,298.94,3.4,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,0.12,299.29
Carlton,Round 9,298.94,-3.07,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,-27.65,216.29
West Coast Eagles,Round 10,298.94,2.69,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-15.03,254.0
Gold Coast SUNS,Round 11,298.94,6.59,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,1.6,303.71
Melbourne,Round 12,298.94,7.27,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,-9.3,271.14
Western Bulldogs,Round 14,298.94,3.55,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-13.65,258.14
Collingwood,Round 15,298.94,12.39,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,13.74,340.0
Fremantle,Round 16,298.94,3.4,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,0.12,299.29
Hawthorn,Round 17,298.94,12.47,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,31.15,392.07
Sydney Swans,Round 18,298.94,6.59,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,12.9,337.5
Geelong Cats,Round 19,298.94,3.28,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-1.34,294.93
Melbourne,Round 20,298.94,7.27,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,-9.3,271.14
North Melbourne,Round 21,298.94,-1.23,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,19.66,357.71
Richmond,Round 22,298.94,11.43,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,10.34,329.86
Essendon,Round 23,298.94,2.41,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-3.61,288.14
GWS GIANTS,Round 24,298.94,-5.55,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-5.24,283.29
