,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Hawthorn,Opening Round,243.93,13.25,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,44.54,352.57
Brisbane Lions,Round 1,243.93,4.78,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-20.24,194.57
Fremantle,Round 2,243.93,4.07,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,6.12,258.86
North Melbourne,Round 4,243.93,0.19,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,0.61,245.43
Collingwood,Round 5,243.93,13.45,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,12.45,274.29
Port Adelaide,Round 6,243.93,1.71,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-2.25,238.43
Gold Coast SUNS,Round 7,243.93,8.01,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,10.28,269.0
GWS GIANTS,Round 8,243.93,-4.11,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-21.47,191.57
Essendon,Round 9,243.93,3.26,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-1.17,241.07
Carlton,Round 10,243.93,-1.08,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,9.75,267.71
Melbourne,Round 11,243.93,8.21,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,0.32,244.71
Adelaide Crows,Round 12,243.93,-2.89,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,6.12,258.86
Richmond,Round 13,243.93,11.94,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,11.8,272.71
Port Adelaide,Round 15,243.93,1.71,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-2.25,238.43
Western Bulldogs,Round 16,243.93,4.79,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,20.65,294.29
Fremantle,Round 17,243.93,4.07,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,6.12,258.86
St Kilda,Round 18,243.93,14.1,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,14.82,280.07
North Melbourne,Round 19,243.93,0.19,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,0.61,245.43
GWS GIANTS,Round 20,243.93,-4.11,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-21.47,191.57
Essendon,Round 21,243.93,3.26,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,-1.17,241.07
Brisbane Lions,Round 22,243.93,4.78,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-20.24,194.57
Geelong Cats,Round 23,243.93,4.82,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,2.25,249.43
West Coast Eagles,Round 24,243.93,4.31,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-18.07,199.86
