,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,254.89,7.38,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,19.94,305.71
Brisbane Lions,Round 2,254.89,4.0,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,5.48,268.86
Fremantle,Round 3,254.89,3.12,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-3.01,247.21
GWS GIANTS,Round 4,254.89,-5.07,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-10.72,227.57
Carlton,Round 5,254.89,-2.71,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,15.12,293.43
Essendon,Round 6,254.89,2.76,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,13.1,288.29
Hawthorn,Round 7,254.89,12.41,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,29.3,329.57
Melbourne,Round 8,254.89,7.34,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,8.56,276.71
Richmond,Round 9,254.89,11.09,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,-4.83,242.57
St Kilda,Round 10,254.89,13.47,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,33.95,341.43
Adelaide Crows,Round 11,254.89,-3.84,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-17.0,211.57
Geelong Cats,Round 12,254.89,3.76,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-18.15,208.64
North Melbourne,Round 13,254.89,-0.62,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,2.23,260.57
Carlton,Round 14,254.89,-2.71,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,15.12,293.43
Collingwood,Round 16,254.89,12.7,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,19.15,303.71
GWS GIANTS,Round 17,254.89,-5.07,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-10.72,227.57
Port Adelaide,Round 18,254.89,0.66,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,8.45,276.43
Richmond,Round 19,254.89,11.09,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,-4.83,242.57
Fremantle,Round 20,254.89,3.12,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-3.01,247.21
Melbourne,Round 21,254.89,7.34,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,8.56,276.71
Adelaide Crows,Round 22,254.89,-3.84,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-17.0,211.57
Western Bulldogs,Round 23,254.89,3.52,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-5.79,240.14
Sydney Swans,Round 24,254.89,6.38,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,2.79,262.0
