,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
North Melbourne,Round 1,275.27,0.88,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,2.39,281.86
Collingwood,Round 2,275.27,15.82,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,2.91,283.29
Carlton,Round 3,275.27,0.25,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,10.33,303.71
Fremantle,Round 4,275.27,5.62,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-0.77,273.14
Brisbane Lions,Round 5,275.27,6.96,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-5.23,260.86
St Kilda,Round 6,275.27,15.65,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,18.69,326.71
GWS GIANTS,Round 7,275.27,-2.71,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-11.96,242.36
Port Adelaide,Round 8,275.27,3.6,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-8.14,252.86
Gold Coast SUNS,Round 9,275.27,9.32,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,-8.2,252.71
Essendon,Round 10,275.27,4.86,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,3.02,283.57
Geelong Cats,Round 11,275.27,6.26,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,-11.2,244.43
Hawthorn,Round 13,275.27,14.77,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-0.44,274.07
St Kilda,Round 14,275.27,15.65,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,18.69,326.71
Richmond,Round 15,275.27,13.68,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,8.05,297.43
Sydney Swans,Round 16,275.27,10.18,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,-9.88,248.07
North Melbourne,Round 17,275.27,0.88,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,2.39,281.86
Adelaide Crows,Round 18,275.27,-1.73,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-6.12,258.43
Brisbane Lions,Round 19,275.27,6.96,-8.5,-2.08,8.93,5.72,-42.64,74.93,-7.13,11.54,21.17,-5.23,260.86
Essendon,Round 20,275.27,4.86,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,3.02,283.57
GWS GIANTS,Round 21,275.27,-2.71,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-11.96,242.36
Melbourne,Round 22,275.27,9.64,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,-4.61,262.57
West Coast Eagles,Round 23,275.27,5.24,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,31.82,362.86
Fremantle,Round 24,275.27,5.62,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-0.77,273.14
