opponent,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,disposalEfficiency W Mean,disposalEfficiency,rebound50s W Mean,rebound50s,metresGained W Mean,metresGained,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches,extendedStats.kickins W Mean,extendedStats.kickins,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon
Adelaide Crows,252.55,-3.22,-7.52,40.33,-9.02,17.78,-4.61,18.74,-10.5,1.31,-16.51,17.42,-10.06,42.04,-6.8,20.23,-11.11,62.27,-8.24,7.85,-0.49,2.67,5.24,0.43,7.23,0.27,-29.5,2.7,7.61,2.6,-0.0,7.08,9.5,306.75,-3.0,11.84,-14.26,1148.54,-5.34,292.32,-3.72,5.02,-7.96,3.7,-9.0,4.98,-9.99,4.29,-12.93
Brisbane Lions,270.53,1.57,-0.93,42.88,-3.26,19.62,5.26,19.16,-8.5,1.65,5.16,17.51,-9.59,44.17,-2.08,24.79,8.93,68.96,1.61,8.34,5.72,3.14,23.77,0.23,-42.64,0.67,74.93,2.33,-7.13,2.9,11.54,6.13,-5.2,314.41,-0.58,15.59,12.9,1235.39,1.82,300.9,-0.89,5.47,0.29,4.56,12.15,6.61,19.47,5.97,21.17
Carlton,256.59,-3.61,-6.04,40.49,-8.66,18.87,1.24,18.81,-10.17,1.46,-6.95,17.35,-10.42,41.19,-8.69,23.01,1.11,64.19,-5.41,7.66,-2.9,2.46,-3.04,0.71,77.06,0.61,59.27,2.39,-4.74,2.99,15.0,6.49,0.37,317.09,0.27,12.69,-8.1,1125.75,-7.22,311.44,2.58,5.33,-2.27,3.91,-3.84,5.48,-0.96,4.86,-1.36
Collingwood,290.96,6.62,6.55,46.64,5.22,20.31,8.97,22.16,5.83,1.42,-9.5,20.73,7.03,49.27,9.23,24.11,5.94,73.37,8.11,8.06,2.17,3.31,30.47,0.17,-57.61,0.25,-34.73,2.85,13.59,2.61,0.38,6.26,-3.19,322.31,1.92,13.91,0.73,1177.09,-2.99,314.01,3.42,5.59,2.49,4.95,21.74,7.01,26.69,6.3,27.87
Essendon,269.13,-2.75,-1.45,44.84,1.16,18.18,-2.46,20.42,-2.48,1.46,-6.95,18.96,-2.11,44.01,-2.43,23.76,4.4,67.77,-0.14,7.73,-2.02,2.84,11.94,0.24,-40.15,0.4,4.44,2.41,-3.95,2.37,-8.85,6.28,-2.88,314.42,-0.58,14.17,2.61,1224.58,0.93,302.85,-0.25,4.93,-9.61,3.53,-13.18,5.14,-7.1,4.41,-10.49
Fremantle,270.51,1.0,-0.94,44.63,0.68,17.93,-3.8,22.37,6.83,1.58,0.7,20.78,7.29,44.21,-1.99,22.92,0.71,67.13,-1.08,6.94,-12.03,2.04,-19.59,0.39,-2.74,0.17,-55.61,1.84,-26.66,2.52,-3.08,5.58,-13.7,324.28,2.54,13.44,-2.67,1156.28,-4.7,315.24,3.83,5.21,-4.47,3.57,-12.2,5.13,-7.28,4.57,-7.25
GWS GIANTS,247.93,-3.6,-9.21,40.11,-9.51,17.4,-6.65,18.15,-13.32,1.13,-27.98,17.02,-12.12,41.59,-7.8,20.19,-11.28,61.78,-8.96,7.48,-5.18,2.38,-6.19,0.41,2.24,0.41,7.05,2.5,-0.36,2.36,-9.23,5.88,-9.06,310.09,-1.95,13.05,-5.5,1200.15,-1.09,296.23,-2.43,5.5,0.84,3.8,-6.54,4.87,-11.98,4.58,-7.04
Geelong Cats,271.11,-0.14,-0.72,43.26,-2.41,18.74,0.54,20.18,-3.62,1.69,7.71,18.5,-4.48,45.39,0.63,21.88,-3.86,67.27,-0.88,7.97,1.03,2.91,14.7,0.49,22.19,0.37,-3.39,2.39,-4.74,2.34,-10.0,6.6,2.07,307.43,-2.79,14.2,2.83,1241.89,2.35,294.8,-2.9,5.71,4.69,3.81,-6.3,5.38,-2.77,4.91,-0.35
Gold Coast SUNS,281.24,0.32,2.99,45.93,3.62,19.48,4.51,20.6,-1.62,1.75,11.54,18.85,-2.67,45.85,1.64,24.02,5.55,69.87,2.96,8.73,10.66,2.62,3.27,0.38,-5.24,0.44,14.88,2.82,12.4,2.21,-15.0,6.56,1.45,324.47,2.6,15.58,12.82,1319.26,8.73,308.75,1.69,5.8,6.34,4.4,8.21,5.04,-8.91,4.55,-7.65
Hawthorn,293.04,3.18,7.31,47.58,7.34,17.71,-4.98,24.28,15.96,1.8,14.72,22.49,16.12,48.71,7.99,21.58,-5.18,70.29,3.57,8.97,13.7,1.77,-30.23,0.28,-30.17,0.33,-13.84,2.55,1.63,3.21,23.46,6.15,-4.89,323.21,2.2,14.72,6.6,1252.72,3.25,312.41,2.9,5.87,7.63,3.5,-13.92,6.05,9.34,5.38,9.19
Melbourne,281.79,-1.28,3.19,46.59,5.11,18.27,-1.98,22.43,7.12,1.38,-12.05,21.04,8.63,46.43,2.93,23.19,1.9,69.62,2.59,7.45,-5.56,2.18,-14.07,0.44,9.73,0.25,-34.73,2.33,-7.13,2.09,-19.62,5.75,-11.07,314.26,-0.63,13.68,-0.93,1191.93,-1.76,298.99,-1.52,5.37,-1.54,3.5,-13.92,4.96,-10.36,4.45,-9.68
North Melbourne,264.61,-2.69,-3.1,43.19,-2.57,20.02,7.41,19.36,-7.54,1.58,0.7,17.78,-8.2,42.33,-6.16,23.37,2.69,65.7,-3.19,8.13,3.05,2.77,9.18,0.58,44.64,0.54,40.99,2.37,-5.54,2.24,-13.85,7.74,19.7,317.27,0.32,11.85,-14.19,1171.53,-3.44,295.64,-2.63,5.52,1.21,5.43,33.55,3.67,-33.67,3.05,-38.1
Port Adelaide,259.5,2.53,-4.97,39.62,-10.62,19.74,5.91,17.83,-14.85,1.43,-8.86,16.4,-15.32,44.22,-1.97,20.85,-8.38,65.07,-4.12,8.54,8.25,2.29,-9.74,0.34,-15.21,0.4,4.44,2.83,12.79,2.69,3.46,6.11,-5.51,298.56,-5.59,14.66,6.16,1260.21,3.86,285.49,-5.97,4.81,-11.81,3.61,-11.21,6.8,22.9,6.15,24.82
Richmond,291.84,3.02,6.87,48.53,9.48,18.41,-1.23,24.08,15.0,1.72,9.62,22.36,15.45,48.63,7.81,23.29,2.34,71.93,5.99,6.93,-12.16,2.25,-11.31,0.38,-5.24,0.44,14.88,2.6,3.63,2.03,-21.92,6.83,5.63,323.03,2.14,13.31,-3.61,1263.29,4.12,307.85,1.39,6.15,12.76,4.9,20.51,5.17,-6.56,4.55,-7.65
