team.name,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,disposalEfficiency W Mean,disposalEfficiency,rebound50s W Mean,rebound50s,metresGained W Mean,metresGained,extendedStats.kickEfficiency W Mean,extendedStats.kickEfficiency,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches,extendedStats.kickins W Mean,extendedStats.kickins,extendedStats.kickinsPlayon W Mean,extendedStats.kickinsPlayon
Adelaide Crows,254.1,-0.29,-6.95,40.31,-9.06,18.28,-1.92,18.19,-13.12,1.73,10.26,16.47,-14.97,41.12,-8.84,21.72,-4.56,62.83,-7.42,9.02,14.35,2.45,-3.39,0.38,-5.47,0.41,7.05,2.58,2.75,2.94,13.03,6.18,-4.39,314.36,-0.6,13.9,0.66,1186.91,-2.18,299.33,-1.41,4.6,-15.63,3.44,-15.35,4.8,-13.25,4.1,-16.8
Brisbane Lions,270.34,6.72,-1.0,42.74,-3.58,16.95,-9.06,21.95,4.83,1.01,-35.63,20.93,8.06,49.29,9.27,15.85,-30.35,65.14,-4.01,6.81,-13.67,2.35,-7.33,0.29,-27.86,0.51,33.16,2.73,8.72,2.42,-6.96,7.6,17.57,314.52,-0.55,10.96,-20.63,1211.65,-0.14,306.59,0.98,5.19,-4.81,5.36,31.89,6.34,14.59,5.47,11.0
Carlton,302.32,2.88,10.71,45.29,2.17,19.98,7.2,23.08,10.23,2.22,41.49,20.85,7.65,50.22,11.33,21.23,-6.71,71.46,5.3,10.55,33.75,2.89,13.96,0.35,-12.94,0.39,1.83,2.88,14.7,2.59,-0.42,6.19,-4.24,316.98,0.23,15.02,8.77,1313.78,8.28,299.21,-1.45,6.31,15.74,4.78,17.62,6.89,24.53,5.58,13.23
Collingwood,250.83,-9.03,-8.15,39.41,-11.09,19.58,5.05,17.67,-15.61,1.38,-12.05,16.29,-15.9,40.37,-10.51,21.99,-3.37,62.36,-8.11,8.79,11.44,2.91,14.75,0.46,14.43,0.38,-0.78,3.11,23.86,2.91,11.88,6.39,-1.14,307.24,-2.85,14.08,1.96,1216.86,0.29,294.55,-2.99,5.21,-4.44,4.39,8.02,4.12,-25.54,3.86,-21.67
Essendon,323.65,5.38,18.52,56.41,27.26,20.15,8.11,23.43,11.9,1.5,-4.4,21.94,13.27,53.27,18.09,30.7,34.9,83.97,23.73,7.55,-4.28,2.58,1.74,0.78,94.03,0.48,25.33,2.67,6.33,1.96,-24.64,7.23,11.85,321.91,1.79,14.87,7.68,1346.06,10.94,303.02,-0.2,5.13,-5.91,4.46,9.74,6.84,23.62,6.43,30.48
Fremantle,278.29,-2.84,1.91,48.46,9.32,17.19,-7.77,21.58,3.07,1.31,-16.51,20.27,4.65,45.7,1.31,24.17,6.21,69.86,2.94,8.03,1.8,2.85,12.38,0.23,-42.79,0.21,-45.17,2.64,5.14,2.74,5.34,7.14,10.46,324.56,2.63,13.9,0.66,1201.68,-0.96,307.46,1.27,4.76,-12.69,3.79,-6.74,5.11,-7.65,4.61,-6.45
GWS GIANTS,332.11,8.11,21.61,58.61,32.22,20.46,9.78,25.07,19.73,0.92,-41.36,24.16,24.74,52.93,17.34,34.65,52.26,87.58,29.05,8.48,7.51,2.79,10.02,0.08,-80.1,0.18,-53.0,2.14,-14.77,2.68,3.04,6.47,0.09,325.49,2.92,18.61,34.77,1449.32,19.45,318.06,4.76,3.82,-29.93,4.0,-1.57,9.48,71.34,8.78,78.17
Geelong Cats,277.35,5.65,1.56,39.65,-10.55,20.05,7.58,21.67,3.5,2.41,53.6,19.26,-0.56,44.44,-1.48,21.33,-6.27,65.76,-3.1,8.71,10.42,2.8,10.41,0.67,66.67,0.42,9.66,2.14,-14.77,2.03,-21.95,5.84,-9.65,309.93,-2.0,15.01,8.7,1227.26,1.15,303.33,-0.09,7.46,36.83,4.44,9.25,5.5,-0.6,4.58,-7.06
Gold Coast SUNS,257.33,4.6,-5.77,39.83,-10.15,20.36,9.24,19.89,-5.01,2.15,37.03,17.74,-8.41,40.52,-10.17,22.66,-0.43,63.18,-6.9,7.1,-9.99,2.59,2.13,0.51,26.87,0.61,59.27,3.2,27.44,2.8,7.65,6.86,6.13,304.1,-3.84,13.02,-5.71,1181.26,-2.64,288.32,-5.04,7.29,33.71,4.15,2.12,3.86,-30.24,3.36,-31.82
Hawthorn,283.6,1.95,3.85,46.88,5.76,20.69,11.01,20.21,-3.48,1.42,-9.5,18.8,-2.94,44.83,-0.62,26.28,15.48,71.1,4.77,8.31,5.35,3.3,30.13,0.96,138.81,0.61,59.27,2.89,15.09,2.36,-9.27,7.91,22.37,317.54,0.41,12.21,-11.58,1247.09,2.78,301.22,-0.79,5.19,-4.81,4.53,11.47,4.54,-17.95,4.18,-15.18
