,round.name,dreamTeamPoints Mean,dreamTeamPoints,marks,kicks,handballs,tackles,goals,behinds,freesFor,freesAgainst,extendedStats.kickinsPlayon,L3Avg score,L3Avg value
Geelong Cats,Opening Round,106.07,7.74,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,0.0,0.0
Sydney Swans,Round 1,106.07,11.3,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,15.33,122.33
West Coast Eagles,Round 2,106.07,6.35,1.15,-5.07,4.89,1.28,69.58,-13.84,-14.71,-10.38,-12.73,-5.09,100.67
Richmond,Round 4,106.07,14.22,15.0,7.81,2.34,-12.16,-5.24,14.88,3.63,-21.92,-7.65,23.5,131.0
Western Bulldogs,Round 5,106.07,7.49,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-37.78,66.0
Collingwood,Round 6,106.07,16.29,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-5.25,100.5
St Kilda,Round 7,106.07,16.55,15.62,10.14,2.38,8.0,-35.16,9.66,1.63,15.38,-7.85,-6.67,99.0
Gold Coast SUNS,Round 8,106.07,10.1,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,2.09,108.29
North Melbourne,Round 9,106.07,1.68,-7.54,-6.16,2.69,3.05,44.64,40.99,-5.54,-13.85,-38.1,0.0,0.0
Melbourne,Round 10,106.07,10.36,7.12,2.93,1.9,-5.56,9.73,-34.73,-7.13,-19.62,-9.68,10.62,117.33
Hawthorn,Round 11,106.07,16.52,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-23.95,80.67
Essendon,Round 12,106.07,4.84,-2.48,-2.43,4.4,-2.02,-40.15,4.44,-3.95,-8.85,-10.49,3.39,109.67
Adelaide Crows,Round 13,106.07,-0.3,-10.5,-6.8,-11.11,-0.49,7.23,-29.5,7.61,-0.0,-12.93,-6.53,99.14
GWS GIANTS,Round 14,106.07,-1.42,-13.32,-7.8,-11.28,-5.18,2.24,7.05,-0.36,-9.23,-7.04,-30.55,73.67
Geelong Cats,Round 15,106.07,7.74,-3.62,0.63,-3.86,1.03,22.19,-3.39,-4.74,-10.0,-0.35,0.0,0.0
Port Adelaide,Round 17,106.07,5.35,-14.85,-1.97,-8.38,8.25,-15.21,4.44,12.79,3.46,24.82,-11.38,94.0
Carlton,Round 18,106.07,1.62,-10.17,-8.69,1.11,-2.9,77.06,59.27,-4.74,15.0,-1.36,0.0,0.0
Western Bulldogs,Round 19,106.07,7.49,1.06,-0.57,-0.21,-4.55,2.24,-53.0,11.2,21.54,10.41,-37.78,66.0
Gold Coast SUNS,Round 20,106.07,10.1,-1.62,1.64,5.55,10.66,-5.24,14.88,12.4,-15.0,-7.65,2.09,108.29
Collingwood,Round 21,106.07,16.29,5.83,9.23,5.94,2.17,-57.61,-34.73,13.59,0.38,27.87,-5.25,100.5
Sydney Swans,Round 22,106.07,11.3,4.06,3.2,-0.78,-8.86,-0.25,7.05,10.8,21.15,29.69,15.33,122.33
Fremantle,Round 23,106.07,6.01,6.83,-1.99,0.71,-12.03,-2.74,-55.61,-26.66,-3.08,-7.25,-14.21,91.0
Hawthorn,Round 24,106.07,16.52,15.96,7.99,-5.18,13.7,-30.17,-13.84,1.63,23.46,9.19,-23.95,80.67
