,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
St Kilda,Round 1,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,,30.01,-10.13,55.21,-7.4,45.93
Essendon,Round 2,-0.12,-12.62,3.11,7.11,23.46,-18.05,,62.5,0.58,49.33,-9.13,45.07
North Melbourne,Round 3,4.89,6.56,1.12,-1.48,-14.05,16.85,,-65.79,2.45,48.43,-6.03,46.61
Gold Coast SUNS,Round 4,-1.58,-13.9,10.77,21.83,-15.12,3.44,,-50.0,0.42,49.41,-3.08,48.07
Geelong Cats,Round 5,4.12,2.62,6.47,5.7,11.31,53.89,,62.5,3.15,48.1,-3.51,47.86
GWS GIANTS,Round 6,9.58,0.21,20.74,21.83,25.74,31.46,,224.99,11.17,44.64,-11.29,44.0
Fremantle,Round 7,-3.38,7.78,-11.09,7.11,25.74,-15.87,,62.5,-2.15,50.71,14.64,56.86
Carlton,Round 8,21.79,14.04,23.89,-10.34,23.46,40.21,,-7.14,16.59,42.56,-12.16,43.57
Port Adelaide,Round 9,3.48,2.84,14.9,14.0,-33.43,-4.4,,-18.75,6.56,46.56,-8.55,45.36
Collingwood,Round 10,0.68,10.3,-3.9,11.61,21.26,-9.86,,224.99,2.56,48.38,29.25,64.11
West Coast Eagles,Round 11,-5.74,-12.29,-9.86,-18.98,23.46,19.06,,-50.0,-9.84,55.04,20.69,59.86
Sydney Swans,Round 12,-6.36,0.64,-1.18,26.66,-9.47,-12.36,,116.68,-1.27,50.26,-19.5,39.93
Brisbane Lions,Round 13,5.11,-0.84,14.9,-4.43,-3.0,3.44,,8.33,5.56,47.01,-6.83,46.21
Hawthorn,Round 14,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,,-27.78,-3.66,51.5,-12.58,43.36
Richmond,Round 16,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,,-18.75,-10.79,55.62,35.95,67.43
Melbourne,Round 17,6.33,5.13,-2.28,20.9,-11.82,14.73,,224.99,4.14,47.65,13.19,56.14
Western Bulldogs,Round 18,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,,62.5,-5.18,52.33,19.96,59.5
Gold Coast SUNS,Round 19,-1.58,-13.9,10.77,21.83,-15.12,3.44,,-50.0,0.42,49.41,-3.08,48.07
Port Adelaide,Round 20,3.48,2.84,14.9,14.0,-33.43,-4.4,,-18.75,6.56,46.56,-8.55,45.36
Hawthorn,Round 21,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,,-27.78,-3.66,51.5,-12.58,43.36
West Coast Eagles,Round 22,-5.74,-12.29,-9.86,-18.98,23.46,19.06,,-50.0,-9.84,55.04,20.69,59.86
Collingwood,Round 23,0.68,10.3,-3.9,11.61,21.26,-9.86,,224.99,2.56,48.38,29.25,64.11
North Melbourne,Round 24,4.89,6.56,1.12,-1.48,-14.05,16.85,,-65.79,2.45,48.43,-6.03,46.61
