,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Opening Round,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.03,55.48,1.59,58.71
Sydney Swans,Round 1,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.99,58.3,2.96,59.5
West Coast Eagles,Round 2,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.46,63.75,2.72,59.36
Richmond,Round 4,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.88,64.76,13.34,65.5
Western Bulldogs,Round 5,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.15,60.85,7.28,62.0
Collingwood,Round 6,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,1.53,56.85,-18.43,47.14
St Kilda,Round 7,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-11.19,64.99,13.1,65.36
Gold Coast SUNS,Round 8,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,1.67,56.77,18.84,68.68
North Melbourne,Round 9,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.13,56.52,-17.3,47.79
Melbourne,Round 10,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,3.86,55.57,17.17,67.71
Hawthorn,Round 11,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.09,60.81,9.38,63.21
Essendon,Round 12,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.7,57.32,14.95,66.43
Adelaide Crows,Round 13,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.67,58.7,13.46,65.57
GWS GIANTS,Round 14,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,12.6,51.26,-8.6,52.82
Geelong Cats,Round 15,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.03,55.48,1.59,58.71
Port Adelaide,Round 17,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,7.59,53.65,-24.23,43.79
Carlton,Round 18,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,16.92,49.37,-10.64,51.64
Western Bulldogs,Round 19,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.15,60.85,7.28,62.0
Gold Coast SUNS,Round 20,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,1.67,56.77,18.84,68.68
Collingwood,Round 21,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,1.53,56.85,-18.43,47.14
Sydney Swans,Round 22,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.99,58.3,2.96,59.5
Fremantle,Round 23,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-3.72,59.95,17.67,68.0
Hawthorn,Round 24,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.09,60.81,9.38,63.21
