,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Richmond,Round 1,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.46,66.5,26.25,75.32
Hawthorn,Round 2,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.29,62.88,17.33,70.0
Western Bulldogs,Round 3,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.44,62.98,-8.65,54.5
Collingwood,Round 4,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.26,58.23,16.8,69.68
West Coast Eagles,Round 5,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.21,65.59,5.25,62.79
North Melbourne,Round 6,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.99,58.39,-0.62,59.29
Geelong Cats,Round 7,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.12,57.19,6.08,63.29
Adelaide Crows,Round 8,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.34,60.36,17.87,70.32
St Kilda,Round 9,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.21,66.32,11.82,66.71
Sydney Swans,Round 10,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.73,59.99,-1.34,58.86
GWS GIANTS,Round 11,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.93,53.21,-6.55,55.75
Essendon,Round 13,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.17,59.45,-3.02,57.86
West Coast Eagles,Round 14,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.21,65.59,5.25,62.79
North Melbourne,Round 15,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.99,58.39,-0.62,59.29
Port Adelaide,Round 16,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.62,55.85,-10.93,53.14
Collingwood,Round 17,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.26,58.23,16.8,69.68
Brisbane Lions,Round 18,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.86,56.25,17.45,70.07
Melbourne,Round 19,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.85,56.8,-20.38,47.5
Hawthorn,Round 20,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.29,62.88,17.33,70.0
Fremantle,Round 21,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.84,61.29,31.23,78.29
Gold Coast SUNS,Round 22,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.45,59.28,28.23,76.5
Port Adelaide,Round 23,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.62,55.85,-10.93,53.14
Essendon,Round 24,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.17,59.45,-3.02,57.86
