,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Opening Round,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.02,53.7,-8.55,54.57
Port Adelaide,Round 1,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,7.02,55.71,11.68,66.64
Western Bulldogs,Round 2,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.19,62.88,14.56,68.36
Carlton,Round 4,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.41,52.11,6.3,63.43
Sydney Swans,Round 5,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,0.28,59.46,-7.11,55.43
Brisbane Lions,Round 6,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.58,56.47,2.46,61.14
Essendon,Round 7,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.42,59.87,0.9,60.21
Geelong Cats,Round 8,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.58,57.56,-25.66,44.36
Fremantle,Round 9,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.17,60.94,5.35,62.86
Adelaide Crows,Round 10,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.61,60.59,28.21,76.5
North Melbourne,Round 11,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.75,58.59,-12.97,51.93
Hawthorn,Round 12,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.13,62.84,-13.46,51.64
Melbourne,Round 13,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.15,56.7,-8.25,54.75
St Kilda,Round 15,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.4,65.81,-10.69,53.29
West Coast Eagles,Round 16,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.79,66.09,27.48,76.07
Carlton,Round 17,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.41,52.11,6.3,63.43
Gold Coast SUNS,Round 18,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,-0.47,59.9,-2.56,58.14
Fremantle,Round 19,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.17,60.94,5.35,62.86
Richmond,Round 20,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.83,66.12,-15.02,50.71
Brisbane Lions,Round 21,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.58,56.47,2.46,61.14
Hawthorn,Round 22,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.13,62.84,-13.46,51.64
Adelaide Crows,Round 23,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.61,60.59,28.21,76.5
Melbourne,Round 24,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.15,56.7,-8.25,54.75
