,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Opening Round,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.2,64.79,1.43,65.93
Hawthorn,Round 1,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-4.58,68.04,10.77,72.0
Adelaide Crows,Round 2,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.18,65.7,10.98,72.14
Port Adelaide,Round 3,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.64,60.88,-11.75,57.36
Melbourne,Round 5,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.77,61.96,25.38,81.5
West Coast Eagles,Round 6,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.53,71.76,5.06,68.29
Collingwood,Round 7,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.42,63.39,-20.06,51.96
North Melbourne,Round 8,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.59,63.28,5.28,68.43
Sydney Swans,Round 9,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.96,65.55,-8.08,59.75
Western Bulldogs,Round 10,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.27,68.53,22.2,79.43
Richmond,Round 11,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.39,72.44,20.11,78.07
Brisbane Lions,Round 12,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.43,61.57,3.57,67.32
Carlton,Round 13,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,16.25,55.84,-32.42,43.93
Geelong Cats,Round 14,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.09,62.37,-22.09,50.64
Fremantle,Round 15,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.47,66.56,0.98,65.64
Gold Coast SUNS,Round 17,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.2,64.79,1.43,65.93
Richmond,Round 18,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.39,72.44,20.11,78.07
GWS GIANTS,Round 19,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.45,58.25,1.75,66.14
Western Bulldogs,Round 20,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.27,68.53,22.2,79.43
Sydney Swans,Round 21,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.96,65.55,-8.08,59.75
Geelong Cats,Round 22,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.09,62.37,-22.09,50.64
St Kilda,Round 23,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.42,72.47,18.25,76.86
Carlton,Round 24,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,16.25,55.84,-32.42,43.93
