,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Geelong Cats,Round 1,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.92,65.29,12.7,76.43
Sydney Swans,Round 2,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-1.11,68.61,14.58,77.71
West Coast Eagles,Round 3,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.48,74.95,-10.63,60.61
Western Bulldogs,Round 4,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.51,71.8,0.9,68.43
Richmond,Round 5,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.58,75.88,19.01,80.71
Melbourne,Round 6,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.6,64.87,4.69,71.0
Adelaide Crows,Round 7,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.39,68.81,8.68,73.71
St Kilda,Round 8,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.53,75.83,36.33,92.46
Collingwood,Round 9,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.18,66.4,32.7,90.0
GWS GIANTS,Round 10,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.75,60.72,-31.13,46.71
Port Adelaide,Round 11,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.77,63.55,6.16,72.0
Gold Coast SUNS,Round 12,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.93,67.23,-32.91,45.5
North Melbourne,Round 14,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.66,66.09,-17.33,56.07
Essendon,Round 15,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.2,67.72,-20.07,54.21
St Kilda,Round 16,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.53,75.83,36.33,92.46
Sydney Swans,Round 17,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-1.11,68.61,14.58,77.71
Hawthorn,Round 18,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-4.85,71.31,-1.74,66.64
Collingwood,Round 19,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.18,66.4,32.7,90.0
West Coast Eagles,Round 20,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.48,74.95,-10.63,60.61
Carlton,Round 21,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,16.38,58.3,-3.16,65.68
Port Adelaide,Round 22,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.77,63.55,6.16,72.0
Brisbane Lions,Round 23,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.6,64.25,-10.26,60.86
Western Bulldogs,Round 24,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.51,71.8,0.9,68.43
