,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Opening Round,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,,3.28,53.17,-20.99,43.43
Melbourne,Round 1,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,,4.76,52.42,2.53,56.36
Hawthorn,Round 3,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,,-5.72,58.24,7.08,58.86
West Coast Eagles,Round 4,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,,-10.43,61.3,29.42,71.14
St Kilda,Round 5,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,,-9.97,60.99,-18.14,45.0
Adelaide Crows,Round 6,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,,-1.52,55.76,0.44,55.21
Western Bulldogs,Round 7,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,,-5.82,58.3,19.81,65.86
Sydney Swans,Round 8,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,,0.54,54.61,6.35,58.46
Geelong Cats,Round 9,4.12,2.62,6.47,5.7,11.31,53.89,20.0,,3.6,53.0,-1.38,54.21
Fremantle,Round 10,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,,-1.56,55.78,-9.11,49.96
Carlton,Round 11,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,,14.24,48.06,-2.09,53.82
Richmond,Round 12,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,,-9.28,60.53,0.58,55.29
Port Adelaide,Round 13,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,,7.03,51.3,-7.6,50.79
Brisbane Lions,Round 14,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,,4.94,52.32,-7.22,51.0
Gold Coast SUNS,Round 15,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,,0.57,54.6,32.55,72.86
West Coast Eagles,Round 17,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,,-10.43,61.3,29.42,71.14
Geelong Cats,Round 18,4.12,2.62,6.47,5.7,11.31,53.89,20.0,,3.6,53.0,-1.38,54.21
Essendon,Round 19,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,,-0.21,55.03,24.87,68.64
Sydney Swans,Round 20,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,,0.54,54.61,6.35,58.46
Western Bulldogs,Round 21,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,,-5.82,58.3,19.81,65.86
North Melbourne,Round 22,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,,2.24,53.71,11.35,61.21
Gold Coast SUNS,Round 23,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,,0.57,54.6,32.55,72.86
St Kilda,Round 24,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,,-9.97,60.99,-18.14,45.0
