,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Brisbane Lions,Opening Round,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.37,58.0,-27.26,46.14
Fremantle,Round 1,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-1.71,62.17,26.91,80.5
St Kilda,Round 2,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.11,67.24,-28.95,45.07
Melbourne,Round 4,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.2,58.09,11.15,70.5
Adelaide Crows,Round 5,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.4,61.97,-1.01,62.79
Hawthorn,Round 6,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.05,64.36,22.64,77.79
Carlton,Round 7,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,13.76,53.72,-16.44,53.0
Collingwood,Round 8,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,3.51,59.04,2.36,64.93
GWS GIANTS,Round 9,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,10.68,55.21,23.87,78.57
Port Adelaide,Round 10,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.8,57.22,-2.32,61.96
Western Bulldogs,Round 11,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.0,64.32,20.04,76.14
West Coast Eagles,Round 12,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.93,67.85,18.63,75.25
Gold Coast SUNS,Round 13,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,-1.4,61.98,-5.19,60.14
Essendon,Round 14,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-1.11,61.8,7.99,68.5
Brisbane Lions,Round 15,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.37,58.0,-27.26,46.14
Richmond,Round 17,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.27,67.35,12.39,71.29
GWS GIANTS,Round 18,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,10.68,55.21,23.87,78.57
St Kilda,Round 19,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.11,67.24,-28.95,45.07
North Melbourne,Round 20,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.44,60.24,-20.95,50.14
Port Adelaide,Round 21,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.8,57.22,-2.32,61.96
Essendon,Round 22,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-1.11,61.8,7.99,68.5
Sydney Swans,Round 23,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,0.88,60.58,-10.93,56.5
Richmond,Round 24,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.27,67.35,12.39,71.29
