,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Essendon,Opening Round,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.07,67.15,-15.94,56.64
West Coast Eagles,Round 1,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.71,74.31,-3.7,64.89
Melbourne,Round 3,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.09,63.85,-32.78,45.29
Adelaide Crows,Round 4,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.37,68.03,-0.99,66.71
North Melbourne,Round 5,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.8,65.91,-6.34,63.11
Richmond,Round 6,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.96,74.52,8.24,72.93
Sydney Swans,Round 7,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.09,67.16,9.08,73.5
Brisbane Lions,Round 8,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.44,63.64,-3.8,64.82
Western Bulldogs,Round 9,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.5,71.01,0.82,67.93
Hawthorn,Round 10,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.45,70.97,18.36,79.75
St Kilda,Round 11,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.83,74.42,36.97,92.29
Fremantle,Round 12,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.2,68.61,-16.25,56.43
Geelong Cats,Round 13,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.91,64.57,14.28,77.0
GWS GIANTS,Round 15,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.59,60.13,-1.31,66.5
Melbourne,Round 16,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.09,63.85,-32.78,45.29
Essendon,Round 17,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.07,67.15,-15.94,56.64
Collingwood,Round 18,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.84,65.25,-10.95,60.0
Adelaide Crows,Round 19,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.37,68.03,-0.99,66.71
Brisbane Lions,Round 20,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.44,63.64,-3.8,64.82
Richmond,Round 21,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.96,74.52,8.24,72.93
Carlton,Round 22,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.94,58.38,-24.74,50.71
GWS GIANTS,Round 23,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.59,60.13,-1.31,66.5
Port Adelaide,Round 24,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.67,62.91,4.42,70.36
