,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Sydney Swans,Opening Round,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,0.6,53.29,-23.97,40.79
Essendon,Round 1,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.82,54.05,-5.07,50.93
Carlton,Round 2,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.44,46.85,-15.58,45.29
GWS GIANTS,Round 3,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.27,48.18,3.58,55.57
Port Adelaide,Round 5,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.87,50.16,-19.18,43.36
Geelong Cats,Round 6,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.99,51.55,-2.27,52.43
West Coast Eagles,Round 7,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.37,59.15,23.15,66.07
Richmond,Round 8,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.74,59.39,14.89,61.64
Melbourne,Round 9,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.84,51.13,11.84,60.0
Gold Coast SUNS,Round 10,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,-1.36,54.35,-2.22,52.46
Brisbane Lions,Round 11,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,6.3,50.43,6.92,57.36
Collingwood,Round 12,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.9,52.1,25.27,67.21
Western Bulldogs,Round 13,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-4.65,56.22,45.26,77.93
Adelaide Crows,Round 14,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.39,54.37,10.36,59.21
North Melbourne,Round 16,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,0.9,53.13,39.53,74.86
St Kilda,Round 17,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.43,59.19,32.41,71.04
Fremantle,Round 18,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.65,55.07,-1.6,52.79
Port Adelaide,Round 19,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.87,50.16,-19.18,43.36
Carlton,Round 20,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.44,46.85,-15.58,45.29
Adelaide Crows,Round 21,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.39,54.37,10.36,59.21
Collingwood,Round 22,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.9,52.1,25.27,67.21
Melbourne,Round 23,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.84,51.13,11.84,60.0
Brisbane Lions,Round 24,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,6.3,50.43,6.92,57.36
