,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
GWS GIANTS,Round 1,9.58,0.21,20.74,21.83,25.74,31.46,5.0,,11.61,58.56,13.84,74.43
North Melbourne,Round 2,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,,2.49,63.77,-9.76,59.0
Gold Coast SUNS,Round 3,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,,0.61,64.97,2.69,67.14
Geelong Cats,Round 4,4.12,2.62,6.47,5.7,11.31,53.89,20.0,,3.74,63.0,11.65,73.0
Essendon,Round 5,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,,0.31,65.16,9.36,71.5
Fremantle,Round 6,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,,-3.13,67.47,-12.33,57.32
Richmond,Round 7,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,,-11.01,73.44,25.74,82.21
West Coast Eagles,Round 8,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,,-9.14,71.93,-5.83,61.57
Hawthorn,Round 9,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,,-4.13,68.18,-40.24,39.07
Brisbane Lions,Round 10,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,,6.18,61.55,-7.57,60.43
Sydney Swans,Round 11,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,,-1.45,66.33,-5.28,61.93
St Kilda,Round 12,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,,-10.48,73.01,34.15,87.71
Collingwood,Round 13,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,,1.87,64.16,-1.84,64.18
Port Adelaide,Round 14,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,,6.82,61.19,-12.27,57.36
Gold Coast SUNS,Round 16,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,,0.61,64.97,2.69,67.14
Adelaide Crows,Round 17,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,,-1.52,66.37,-10.97,58.21
North Melbourne,Round 18,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,,2.49,63.77,-9.76,59.0
Carlton,Round 19,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,,16.96,55.88,-2.32,63.86
St Kilda,Round 20,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,,-10.48,73.01,34.15,87.71
West Coast Eagles,Round 21,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,,-9.14,71.93,-5.83,61.57
Western Bulldogs,Round 22,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,,-5.06,68.84,1.99,66.68
Hawthorn,Round 23,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,,-4.13,68.18,-40.24,39.07
Collingwood,Round 24,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,,1.87,64.16,-1.84,64.18
