,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Western Bulldogs,Round 1,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-4.84,70.7,-9.47,61.0
Melbourne,Round 2,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.88,63.54,27.74,86.07
Adelaide Crows,Round 3,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.54,68.33,-21.88,52.64
Sydney Swans,Round 4,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,3.29,65.14,-2.36,65.79
Gold Coast SUNS,Round 5,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,-2.96,69.33,4.32,70.29
Carlton,Round 6,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,10.82,60.71,-16.68,56.14
Port Adelaide,Round 7,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,7.07,62.84,8.88,73.36
Essendon,Round 8,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-2.07,68.71,23.72,83.36
Brisbane Lions,Round 9,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.67,63.67,-20.5,53.57
Richmond,Round 10,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-7.81,72.98,20.11,80.93
Collingwood,Round 11,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,4.35,64.47,10.03,74.14
West Coast Eagles,Round 13,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.8,74.59,14.28,77.0
Fremantle,Round 14,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-1.51,68.31,-27.17,49.07
Carlton,Round 15,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,10.82,60.71,-16.68,56.14
Hawthorn,Round 16,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-6.48,71.94,-13.71,58.14
Western Bulldogs,Round 17,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-4.84,70.7,-9.47,61.0
Melbourne,Round 18,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.88,63.54,27.74,86.07
Sydney Swans,Round 19,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,3.29,65.14,-2.36,65.79
Geelong Cats,Round 20,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.81,64.81,-19.06,54.54
St Kilda,Round 21,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-7.77,72.95,4.42,70.36
GWS GIANTS,Round 22,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,10.3,61.0,-33.85,44.57
Richmond,Round 23,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-7.81,72.98,20.11,80.93
Adelaide Crows,Round 24,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.54,68.33,-21.88,52.64
