,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Collingwood,Round 1,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.83,65.85,-14.95,57.57
Richmond,Round 2,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-9.92,75.16,3.78,70.25
Essendon,Round 3,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.09,67.65,-5.82,63.75
St Kilda,Round 4,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.54,74.85,7.53,72.79
Hawthorn,Round 5,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.76,71.85,12.91,76.43
Sydney Swans,Round 6,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,0.17,67.6,-19.06,54.79
North Melbourne,Round 7,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.55,66.68,2.25,69.21
Western Bulldogs,Round 8,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.54,71.68,-14.42,57.93
Adelaide Crows,Round 9,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.52,68.75,-21.27,53.29
Geelong Cats,Round 10,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.83,65.21,-25.76,50.25
Fremantle,Round 11,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.34,69.33,-0.81,67.14
GWS GIANTS,Round 13,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.6,60.67,16.4,78.79
Melbourne,Round 14,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.22,64.35,-6.72,63.14
Sydney Swans,Round 15,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,0.17,67.6,-19.06,54.79
Carlton,Round 16,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.48,59.14,7.53,72.79
Brisbane Lions,Round 17,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.63,64.1,4.36,70.64
West Coast Eagles,Round 18,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.55,74.86,4.68,70.86
Hawthorn,Round 19,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.76,71.85,12.91,76.43
Adelaide Crows,Round 20,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.52,68.75,-21.27,53.29
Geelong Cats,Round 21,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.83,65.21,-25.76,50.25
Fremantle,Round 22,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.34,69.33,-0.81,67.14
Carlton,Round 23,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.48,59.14,7.53,72.79
Gold Coast SUNS,Round 24,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.03,67.69,29.8,87.86
