,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Carlton,Round 1,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,14.42,55.17,-24.47,47.68
Port Adelaide,Round 2,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,7.06,58.96,1.09,63.82
St Kilda,Round 3,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.53,69.77,1.95,64.36
Brisbane Lions,Round 4,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.3,59.94,0.92,63.71
Fremantle,Round 5,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-1.96,64.38,6.35,67.14
Gold Coast SUNS,Round 6,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.39,62.87,-6.76,58.86
Melbourne,Round 7,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.08,60.07,11.67,70.5
Hawthorn,Round 8,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-5.44,66.75,14.84,72.5
West Coast Eagles,Round 9,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-10.05,70.17,11.28,70.25
North Melbourne,Round 10,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.04,61.86,-4.06,60.57
Essendon,Round 11,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.19,63.0,-18.99,51.14
GWS GIANTS,Round 12,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.23,56.75,-1.22,62.36
Sydney Swans,Round 13,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,0.16,63.02,-6.54,59.0
Western Bulldogs,Round 15,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.63,66.88,13.04,71.36
Adelaide Crows,Round 16,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.75,64.25,28.53,81.14
Geelong Cats,Round 17,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.36,61.07,-6.32,59.14
Essendon,Round 18,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.19,63.0,-18.99,51.14
West Coast Eagles,Round 19,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-10.05,70.17,11.28,70.25
Collingwood,Round 20,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.98,61.29,9.52,69.14
Gold Coast SUNS,Round 21,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.39,62.87,-6.76,58.86
St Kilda,Round 22,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.53,69.77,1.95,64.36
North Melbourne,Round 23,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.04,61.86,-4.06,60.57
Geelong Cats,Round 24,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.36,61.07,-6.32,59.14
