,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Adelaide Crows,Round 1,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.21,69.66,-17.82,56.57
Geelong Cats,Round 2,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.06,66.13,22.75,84.5
Richmond,Round 3,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.12,76.57,18.81,81.79
Port Adelaide,Round 4,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.49,64.62,-0.49,68.5
GWS GIANTS,Round 5,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.07,61.96,3.97,71.57
Western Bulldogs,Round 6,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-4.99,72.44,-8.69,62.86
Brisbane Lions,Round 7,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.64,65.15,-9.15,62.54
Fremantle,Round 8,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.42,70.53,11.85,77.0
Carlton,Round 9,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,15.22,59.73,-8.28,63.14
West Coast Eagles,Round 10,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.25,75.83,12.38,77.36
Gold Coast SUNS,Round 11,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,-0.95,69.48,-12.54,60.21
Melbourne,Round 12,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.22,65.41,-28.3,49.36
Western Bulldogs,Round 14,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-4.99,72.44,-8.69,62.86
Collingwood,Round 15,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.74,66.98,-13.77,59.36
Fremantle,Round 16,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.42,70.53,11.85,77.0
Hawthorn,Round 17,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-4.72,72.23,-5.27,65.21
Sydney Swans,Round 18,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-0.33,69.05,19.84,82.5
Geelong Cats,Round 19,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,4.06,66.13,22.75,84.5
Melbourne,Round 20,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,5.22,65.41,-28.3,49.36
North Melbourne,Round 21,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,1.83,67.58,48.07,101.93
Richmond,Round 22,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.12,76.57,18.81,81.79
Essendon,Round 23,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.8,69.38,2.72,70.71
GWS GIANTS,Round 24,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.07,61.96,3.97,71.57
