,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Hawthorn,Opening Round,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-4.64,59.64,46.55,83.36
Brisbane Lions,Round 1,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.73,53.79,-2.18,55.64
Fremantle,Round 2,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.56,58.36,40.77,80.07
North Melbourne,Round 4,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.06,55.72,8.25,61.57
Collingwood,Round 5,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,2.54,55.46,9.37,62.21
Port Adelaide,Round 6,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.69,53.31,-9.21,51.64
Gold Coast SUNS,Round 7,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,-0.38,57.09,7.37,61.07
GWS GIANTS,Round 8,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.27,51.11,-11.97,50.07
Essendon,Round 9,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.51,57.16,5.05,59.75
Carlton,Round 10,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,15.65,49.17,-24.77,42.79
Melbourne,Round 11,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.9,54.21,3.48,58.86
Adelaide Crows,Round 12,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.3,57.62,-14.61,48.57
Richmond,Round 13,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.29,63.39,-12.85,49.57
Port Adelaide,Round 15,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.69,53.31,-9.21,51.64
Western Bulldogs,Round 16,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-5.05,59.9,-10.27,51.04
Fremantle,Round 17,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-2.56,58.36,40.77,80.07
St Kilda,Round 18,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-9.95,63.15,14.52,65.14
North Melbourne,Round 19,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.06,55.72,8.25,61.57
GWS GIANTS,Round 20,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.27,51.11,-11.97,50.07
Essendon,Round 21,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,-0.51,57.16,5.05,59.75
Brisbane Lions,Round 22,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,5.73,53.79,-2.18,55.64
Geelong Cats,Round 23,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.97,54.7,-19.0,46.07
West Coast Eagles,Round 24,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.37,62.75,12.39,63.93
