,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
Gold Coast SUNS,Round 1,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.52,61.06,-16.69,51.21
Brisbane Lions,Round 2,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,6.14,57.83,-17.03,51.0
Fremantle,Round 3,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-3.2,63.41,13.24,69.61
GWS GIANTS,Round 4,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.66,54.97,3.77,63.79
Carlton,Round 5,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,17.7,52.15,-12.15,54.0
Essendon,Round 6,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.02,61.36,8.07,66.43
Hawthorn,Round 7,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-3.72,63.75,9.92,67.57
Melbourne,Round 8,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.08,58.97,9.11,67.07
Richmond,Round 9,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-11.15,69.09,-27.67,44.46
St Kilda,Round 10,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.86,68.86,21.43,74.64
Adelaide Crows,Round 11,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.29,62.18,8.36,66.61
Geelong Cats,Round 12,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.99,59.03,-35.81,39.46
North Melbourne,Round 13,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.73,59.75,7.96,66.36
Carlton,Round 14,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,17.7,52.15,-12.15,54.0
Collingwood,Round 16,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,1.74,60.33,-0.99,60.86
GWS GIANTS,Round 17,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.66,54.97,3.77,63.79
Port Adelaide,Round 18,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,6.69,57.53,-19.59,49.43
Richmond,Round 19,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-11.15,69.09,-27.67,44.46
Fremantle,Round 20,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-3.2,63.41,13.24,69.61
Melbourne,Round 21,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,4.08,58.97,9.11,67.07
Adelaide Crows,Round 22,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.29,62.18,8.36,66.61
Western Bulldogs,Round 23,-4.76,-0.0,-3.19,-19.8,-19.17,-11.13,40.0,62.5,-4.9,64.54,29.22,79.43
Sydney Swans,Round 24,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-1.84,62.53,-5.76,57.93
