,round.name,kicks,handballs,marks,tackles,freesFor,freesAgainst,goals,behinds,dreamTeamPoints,dreamTeamPoints Predicted Sum,L3Avg score,L3Avg value
North Melbourne,Round 1,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.16,49.71,-4.25,48.86
Collingwood,Round 2,0.68,10.3,-3.9,11.61,21.26,-9.86,20.0,224.99,1.92,49.83,1.63,51.86
Carlton,Round 3,21.79,14.04,23.89,-10.34,23.46,40.21,-40.0,-7.14,16.98,43.42,-15.74,43.0
Fremantle,Round 4,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-3.2,52.47,-11.25,45.29
Brisbane Lions,Round 5,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,6.42,47.73,22.07,62.29
St Kilda,Round 6,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.88,56.99,30.04,66.36
GWS GIANTS,Round 7,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.97,45.36,-26.44,37.54
Port Adelaide,Round 8,3.48,2.84,14.9,14.0,-33.43,-4.4,20.0,-18.75,7.18,47.39,-22.46,39.57
Gold Coast SUNS,Round 9,-1.58,-13.9,10.77,21.83,-15.12,3.44,-47.5,-50.0,0.78,50.4,2.04,52.07
Essendon,Round 10,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.31,50.64,-4.39,48.79
Geelong Cats,Round 11,4.12,2.62,6.47,5.7,11.31,53.89,20.0,62.5,3.82,48.92,12.76,57.54
Hawthorn,Round 13,-0.02,10.3,-7.3,-31.8,-4.37,-20.13,-35.38,-27.78,-4.24,53.04,13.87,58.11
St Kilda,Round 14,-9.31,-6.17,-18.57,-5.56,-3.0,-26.63,110.0,30.01,-10.88,56.99,30.04,66.36
Richmond,Round 15,-14.05,-5.23,-12.57,7.84,-3.0,-9.86,68.01,-18.75,-10.82,56.95,-19.38,41.14
Sydney Swans,Round 16,-6.36,0.64,-1.18,26.66,-9.47,-12.36,740.34,116.68,-1.1,51.35,8.98,55.61
North Melbourne,Round 17,4.89,6.56,1.12,-1.48,-14.05,16.85,-44.0,-65.79,2.16,49.71,-4.25,48.86
Adelaide Crows,Round 18,-0.42,2.17,-2.83,-4.43,23.46,21.34,-6.66,62.5,-1.52,51.58,1.9,52.0
Brisbane Lions,Round 19,5.11,-0.84,14.9,-4.43,-3.0,3.44,110.0,8.33,6.42,47.73,22.07,62.29
Essendon,Round 20,-0.12,-12.62,3.11,7.11,23.46,-18.05,-30.0,62.5,0.31,50.64,-4.39,48.79
GWS GIANTS,Round 21,9.58,0.21,20.74,21.83,25.74,31.46,5.0,224.99,11.97,45.36,-26.44,37.54
Melbourne,Round 22,6.33,5.13,-2.28,20.9,-11.82,14.73,20.0,224.99,3.83,48.91,-30.84,35.29
West Coast Eagles,Round 23,-5.74,-12.29,-9.86,-18.98,23.46,19.06,40.0,-50.0,-9.56,56.16,14.5,58.43
Fremantle,Round 24,-3.38,7.78,-11.09,7.11,25.74,-15.87,-23.63,62.5,-3.2,52.47,-11.25,45.29
